Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US13740,13740,"United States - In metropolitan statistical area - Billings, MT MSA","Billings, MT MSA",158050,70384,4711.19,29.11,4682.08,33.8,15
310M100US13780,13780,"United States - In metropolitan statistical area - Binghamton, NY MSA","Binghamton, NY MSA",251725,112766,1238.39,14.03,1224.37,205.6,92.1
310M100US13820,13820,"United States - In metropolitan statistical area - Birmingham-Hoover, AL MSA","Birmingham-Hoover, AL MSA",1128047,500025,5369.77,90.26,5279.51,213.7,94.7
310M100US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND MSA","Bismarck, ND MSA",108779,47833,3613.74,54.82,3558.92,30.6,13.4
310M100US13980,13980,"United States - In metropolitan statistical area - Blacksburg-Christiansburg-Radford, VA MSA","Blacksburg-Christiansburg-Radford, VA MSA",162958,70550,1089.49,16.96,1072.52,151.9,65.8
310M100US14020,14020,"United States - In metropolitan statistical area - Bloomington, IN MSA","Bloomington, IN MSA",192714,84409,1345.06,22.77,1322.29,145.7,63.8
310M100US14060,14060,"United States - In metropolitan statistical area - Bloomington-Normal, IL MSA","Bloomington-Normal, IL MSA",169572,69656,1186.27,2.89,1183.38,143.3,58.9
310M100US14260,14260,"United States - In metropolitan statistical area - Boise City-Nampa, ID MSA","Boise City-Nampa, ID MSA",616561,246052,11833.38,67.79,11765.59,52.4,20.9
310M100US14460,14460,"United States - In metropolitan statistical area - Boston-Cambridge-Quincy, MA-NH MSA","Boston-Cambridge-Quincy, MA-NH MSA",4552402,1883206,4512.46,1025.05,3487.41,1305.4,540
310M100US14500,14500,"United States - In metropolitan statistical area - Boulder, CO MSA","Boulder, CO MSA",294567,127071,740.37,14.08,726.29,405.6,175
310M100US14540,14540,"United States - In metropolitan statistical area - Bowling Green, KY MSA","Bowling Green, KY MSA",125953,53690,855.57,11.08,844.48,149.1,63.6
310M100US14740,14740,"United States - In metropolitan statistical area - Bremerton-Silverdale, WA MSA","Bremerton-Silverdale, WA MSA",251133,107367,565.92,170.98,394.94,635.9,271.9
310M100US14860,14860,"United States - In metropolitan statistical area - Bridgeport-Stamford-Norwalk, CT MSA","Bridgeport-Stamford-Norwalk, CT MSA",916829,361221,836.92,212.03,624.89,1467.2,578.1
310M100US15180,15180,"United States - In metropolitan statistical area - Brownsville-Harlingen, TX MSA","Brownsville-Harlingen, TX MSA",406220,141924,1276.46,385.54,890.92,456,159.3
310M100US15260,15260,"United States - In metropolitan statistical area - Brunswick, GA MSA","Brunswick, GA MSA",112370,58022,1606.34,319.93,1286.41,87.4,45.1
