Target Geo Id 2000,Target Geo Id2 2000,Geographical Area,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000
3800000US3520,3520,"United States - In metropolitan statistical area - Jackson, MI MSA","Jackson, MI MSA",158422,62906,723.76,17.17,706.6,224.2,89
3800000US3560,3560,"United States - In metropolitan statistical area - Jackson, MS MSA","Jackson, MS MSA",440801,174138,2425.4,64.59,2360.81,186.7,73.8
3800000US3580,3580,"United States - In metropolitan statistical area - Jackson, TN MSA","Jackson, TN MSA",107377,44383,847.37,1.86,845.52,127,52.5
3800000US3600,3600,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491,467451,3109.22,473.88,2635.34,417.6,177.4
3800000US3605,3605,"United States - In metropolitan statistical area - Jacksonville, NC MSA","Jacksonville, NC MSA",150355,55726,908.56,141.74,766.82,196.1,72.7
3800000US3610,3610,"United States - In metropolitan statistical area - Jamestown, NY MSA","Jamestown, NY MSA",139750,64900,1500.02,437.97,1062.05,131.6,61.1
3800000US3620,3620,"United States - In metropolitan statistical area - Janesville--Beloit, WI MSA","Janesville--Beloit, WI MSA",152307,62187,726.2,5.73,720.47,211.4,86.3
3800000US3660,3660,"United States - In metropolitan statistical area - Johnson City--Kingsport--Bristol, TN--VA MSA","Johnson City--Kingsport--Bristol, TN--VA MSA",480091,218190,2911,45.49,2865.51,167.5,76.1
3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4
3800000US3700,3700,"United States - In metropolitan statistical area - Jonesboro, AR MSA","Jonesboro, AR MSA",82148,35133,712.98,2.14,710.84,115.6,49.4
3800000US3710,3710,"United States - In metropolitan statistical area - Joplin, MO MSA","Joplin, MO MSA",157322,67468,1267.98,1.83,1266.15,124.3,53.3
3800000US3720,3720,"United States - In metropolitan statistical area - Kalamazoo--Battle Creek, MI MSA","Kalamazoo--Battle Creek, MI MSA",452851,191916,2388.81,507.37,1881.44,240.7,102
3800000US3760,3760,"United States - In metropolitan statistical area - Kansas City, MO--KS MSA","Kansas City, MO--KS MSA",1776062,740884,5485.39,79.18,5406.21,328.5,137
3800000US3810,3810,"United States - In metropolitan statistical area - Killeen--Temple, TX MSA","Killeen--Temple, TX MSA",312952,114558,2144.66,33.18,2111.48,148.2,54.3
3800000US3840,3840,"United States - In metropolitan statistical area - Knoxville, TN MSA","Knoxville, TN MSA",687249,313394,2529.42,80.16,2449.26,280.6,128
3800000US3850,3850,"United States - In metropolitan statistical area - Kokomo, IN MSA","Kokomo, IN MSA",101541,44452,554.34,0.88,553.45,183.5,80.3
3800000US3870,3870,"United States - In metropolitan statistical area - La Crosse, WI--MN MSA","La Crosse, WI--MN MSA",126838,51647,1048.82,37.67,1011.15,125.4,51.1
3800000US3880,3880,"United States - In metropolitan statistical area - Lafayette, LA MSA","Lafayette, LA MSA",385647,157792,2683.19,89.57,2593.62,148.7,60.8
3800000US3920,3920,"United States - In metropolitan statistical area - Lafayette, IN MSA","Lafayette, IN MSA",182821,71610,908.35,3.46,904.89,202,79.1
3800000US3960,3960,"United States - In metropolitan statistical area - Lake Charles, LA MSA","Lake Charles, LA MSA",183577,75995,1094.34,23.22,1071.12,171.4,70.9
3800000US3980,3980,"United States - In metropolitan statistical area - Lakeland--Winter Haven, FL MSA","Lakeland--Winter Haven, FL MSA",483924,226376,2009.99,135.6,1874.38,258.2,120.8
3800000US4000,4000,"United States - In metropolitan statistical area - Lancaster, PA MSA","Lancaster, PA MSA",470658,179990,983.81,34.75,949.06,495.9,189.7
3800000US4040,4040,"United States - In metropolitan statistical area - Lansing--East Lansing, MI MSA","Lansing--East Lansing, MI MSA",447728,181804,1714.53,7.48,1707.06,262.3,106.5
3800000US4080,4080,"United States - In metropolitan statistical area - Laredo, TX MSA","Laredo, TX MSA",193117,55206,3375.53,18.69,3356.83,57.5,16.4
3800000US4100,4100,"United States - In metropolitan statistical area - Las Cruces, NM MSA","Las Cruces, NM MSA",174682,65210,3814.62,7.44,3807.18,45.9,17.1
3800000US4120,4120,"United States - In metropolitan statistical area - Las Vegas, NV--AZ MSA","Las Vegas, NV--AZ MSA",1563282,655795,39719.1,350.46,39368.64,39.7,16.7
3800000US4150,4150,"United States - In metropolitan statistical area - Lawrence, KS MSA","Lawrence, KS MSA",99962,40250,474.47,17.6,456.87,218.8,88.1
3800000US4200,4200,"United States - In metropolitan statistical area - Lawton, OK MSA","Lawton, OK MSA",114996,45416,1083.82,14.48,1069.35,107.5,42.5
3800000US4240,4240,"United States - In metropolitan statistical area - Lewiston--Auburn, ME MSA","Lewiston--Auburn, ME MSA",90830,40455,325.32,20.69,304.64,298.2,132.8
3800000US4280,4280,"United States - In metropolitan statistical area - Lexington, KY MSA","Lexington, KY MSA",479198,204857,1927.17,7.7,1919.47,249.7,106.7
3800000US4320,4320,"United States - In metropolitan statistical area - Lima, OH MSA","Lima, OH MSA",155084,62715,808.6,2.92,805.68,192.5,77.8
3800000US4360,4360,"United States - In metropolitan statistical area - Lincoln, NE MSA","Lincoln, NE MSA",250291,104217,846.71,7.83,838.88,298.4,124.2
3800000US4400,4400,"United States - In metropolitan statistical area - Little Rock--North Little Rock, AR MSA","Little Rock--North Little Rock, AR MSA",583845,250255,3004.75,97.12,2907.62,200.8,86.1
3800000US4420,4420,"United States - In metropolitan statistical area - Longview--Marshall, TX MSA","Longview--Marshall, TX MSA",208780,87550,1784.13,23.75,1760.38,118.6,49.7
3800000US4472,4472,"United States - In metropolitan statistical area - Los Angeles--Riverside--Orange County, CA CMSA","Los Angeles--Riverside--Orange County, CA CMSA",16373645,5678148,35316.94,1361.5,33955.44,482.2,167.2
3850000US44724480,44724480,"United States - In metropolitan statistical area - Los Angeles--Riverside--Orange County, CA CMSA - Los Angeles--Long Beach, CA PMSA","Los Angeles--Long Beach, CA PMSA",9519338,3270909,4752.32,691.45,4060.87,2344.2,805.5
3850000US44725945,44725945,"United States - In metropolitan statistical area - Los Angeles--Riverside--Orange County, CA CMSA - Orange County, CA PMSA","Orange County, CA PMSA",2846289,969484,947.98,158.57,789.4,3605.6,1228.1
3850000US44726780,44726780,"United States - In metropolitan statistical area - Los Angeles--Riverside--Orange County, CA CMSA - Riverside--San Bernardino, CA PMSA","Riverside--San Bernardino, CA PMSA",3254821,1186043,27408.45,148.58,27259.86,119.4,43.5
3850000US44728735,44728735,"United States - In metropolitan statistical area - Los Angeles--Riverside--Orange County, CA CMSA - Ventura, CA PMSA","Ventura, CA PMSA",753197,251712,2208.2,362.9,1845.3,408.2,136.4
3800000US4520,4520,"United States - In metropolitan statistical area - Louisville, KY--IN MSA","Louisville, KY--IN MSA",1025598,438235,2099.44,27.44,2071.99,495,211.5
3800000US4600,4600,"United States - In metropolitan statistical area - Lubbock, TX MSA","Lubbock, TX MSA",242628,100595,900.7,1.2,899.49,269.7,111.8
3800000US4640,4640,"United States - In metropolitan statistical area - Lynchburg, VA MSA","Lynchburg, VA MSA",214911,92229,1811.95,21.51,1790.44,120,51.5
3800000US4680,4680,"United States - In metropolitan statistical area - Macon, GA MSA","Macon, GA MSA",322549,134359,1544.75,12.94,1531.81,210.6,87.7
3800000US4720,4720,"United States - In metropolitan statistical area - Madison, WI MSA","Madison, WI MSA",426526,180398,1238.32,36.42,1201.89,354.9,150.1
3800000US4800,4800,"United States - In metropolitan statistical area - Mansfield, OH MSA","Mansfield, OH MSA",175818,73240,903.16,4.17,898.99,195.6,81.5
3800000US4880,4880,"United States - In metropolitan statistical area - McAllen--Edinburg--Mission, TX MSA","McAllen--Edinburg--Mission, TX MSA",569463,192658,1582.66,12.92,1569.75,362.8,122.7
3800000US4890,4890,"United States - In metropolitan statistical area - Medford--Ashland, OR MSA","Medford--Ashland, OR MSA",181269,75737,2801.77,16.57,2785.19,65.1,27.2
3800000US4900,4900,"United States - In metropolitan statistical area - Melbourne--Titusville--Palm Bay, FL MSA","Melbourne--Titusville--Palm Bay, FL MSA",476230,222072,1556.95,538.76,1018.19,467.7,218.1
3800000US4920,4920,"United States - In metropolitan statistical area - Memphis, TN--AR--MS MSA","Memphis, TN--AR--MS MSA",1135614,454534,3098.04,91.61,3006.43,377.7,151.2
3800000US4940,4940,"United States - In metropolitan statistical area - Merced, CA MSA","Merced, CA MSA",210554,68373,1971.87,43.18,1928.69,109.2,35.5
3800000US4992,4992,"United States - In metropolitan statistical area - Miami--Fort Lauderdale, FL CMSA","Miami--Fort Lauderdale, FL CMSA",3876380,1593321,3750.89,599.43,3151.46,1230,505.6
3850000US49922680,49922680,"United States - In metropolitan statistical area - Miami--Fort Lauderdale, FL CMSA - Fort Lauderdale, FL PMSA","Fort Lauderdale, FL PMSA",1623018,741043,1319.63,114.24,1205.4,1346.5,614.8
3850000US49925000,49925000,"United States - In metropolitan statistical area - Miami--Fort Lauderdale, FL CMSA - Miami, FL PMSA","Miami, FL PMSA",2253362,852278,2431.26,485.19,1946.06,1157.9,437.9
3800000US5082,5082,"United States - In metropolitan statistical area - Milwaukee--Racine, WI CMSA","Milwaukee--Racine, WI CMSA",1689572,692962,4114.17,2321.18,1792.99,942.3,386.5
3850000US50825080,50825080,"United States - In metropolitan statistical area - Milwaukee--Racine, WI CMSA - Milwaukee--Waukesha, WI PMSA","Milwaukee--Waukesha, WI PMSA",1500741,618244,3322.27,1862.38,1459.9,1028,423.5
3850000US50826600,50826600,"United States - In metropolitan statistical area - Milwaukee--Racine, WI CMSA - Racine, WI PMSA","Racine, WI PMSA",188831,74718,791.9,458.81,333.1,566.9,224.3
3800000US5120,5120,"United States - In metropolitan statistical area - Minneapolis--St. Paul, MN--WI MSA","Minneapolis--St. Paul, MN--WI MSA",2968806,1169775,6364.12,301.05,6063.07,489.7,192.9
3800000US5140,5140,"United States - In metropolitan statistical area - Missoula, MT MSA","Missoula, MT MSA",95802,41319,2618.34,20.37,2597.97,36.9,15.9
3800000US5160,5160,"United States - In metropolitan statistical area - Mobile, AL MSA","Mobile, AL MSA",540258,239386,3670.95,841.51,2829.44,190.9,84.6
3800000US5170,5170,"United States - In metropolitan statistical area - Modesto, CA MSA","Modesto, CA MSA",446997,150807,1514.67,20.88,1493.79,299.2,101
3800000US5200,5200,"United States - In metropolitan statistical area - Monroe, LA MSA","Monroe, LA MSA",147250,60154,632.7,22.17,610.53,241.2,98.5
3800000US5240,5240,"United States - In metropolitan statistical area - Montgomery, AL MSA","Montgomery, AL MSA",333055,138832,2061.41,54.43,2006.99,165.9,69.2
3800000US5280,5280,"United States - In metropolitan statistical area - Muncie, IN MSA","Muncie, IN MSA",118769,51032,395.92,2.63,393.29,302,129.8
3800000US5330,5330,"United States - In metropolitan statistical area - Myrtle Beach, SC MSA","Myrtle Beach, SC MSA",196629,122085,1254.96,121.28,1133.68,173.4,107.7
3800000US5345,5345,"United States - In metropolitan statistical area - Naples, FL MSA","Naples, FL MSA",251377,144536,2304.93,279.59,2025.34,124.1,71.4
3800000US5360,5360,"United States - In metropolitan statistical area - Nashville, TN MSA","Nashville, TN MSA",1231311,509293,4135.08,62.35,4072.73,302.3,125
3800000US5520,5520,"United States - In metropolitan statistical area - New London--Norwich, CT--RI MSA","New London--Norwich, CT--RI MSA",293566,127566,782.43,120.18,662.24,443.3,192.6
3800000US5560,5560,"United States - In metropolitan statistical area - New Orleans, LA MSA","New Orleans, LA MSA",1337726,556234,7354.78,3955.29,3399.49,393.5,163.6
3800000US5602,5602,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA","New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA",21199865,8213523,13117.93,2668.07,10449.86,2028.7,786
3850000US56020875,56020875,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Bergen--Passaic, NJ PMSA","Bergen--Passaic, NJ PMSA",1373167,509868,443.85,24.39,419.46,3273.6,1215.5
3850000US56021160,56021160,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Bridgeport, CT PMSA","Bridgeport, CT PMSA",459479,179318,276.98,15.15,261.83,1754.9,684.9
3850000US56021930,56021930,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Danbury, CT PMSA","Danbury, CT PMSA",217980,82542,402.05,15.15,386.9,563.4,213.3
3850000US56022281,56022281,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Dutchess County, NY PMSA","Dutchess County, NY PMSA",280150,106103,825.38,23.78,801.59,349.5,132.4
3850000US56023640,56023640,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Jersey City, NJ PMSA","Jersey City, NJ PMSA",608975,240618,62.43,15.74,46.69,13043.6,5153.8
3850000US56025015,56025015,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Middlesex--Somerset--Hunterdon, NJ PMSA","Middlesex--Somerset--Hunterdon, NJ PMSA",1169641,430692,1065.32,20.97,1044.35,1120,412.4
3850000US56025190,56025190,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Monmouth--Ocean, NJ PMSA","Monmouth--Ocean, NJ PMSA",1126217,489595,1581,472.78,1108.21,1016.2,441.8
3850000US56025380,56025380,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Nassau--Suffolk, NY PMSA","Nassau--Suffolk, NY PMSA",2753913,980474,2826.15,1627.26,1198.89,2297.1,817.8
3850000US56025480,56025480,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - New Haven--Meriden, CT PMSA","New Haven--Meriden, CT PMSA",542149,223326,450.55,20.63,429.92,1261,519.5
3850000US56025600,56025600,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - New York, NY PMSA","New York, NY PMSA",9314235,3680360,1414.55,272.91,1141.64,8158.7,3223.8
3850000US56025640,56025640,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Newark, NJ PMSA","Newark, NJ PMSA",2032989,766020,1615.05,37.38,1577.67,1288.6,485.5
3850000US56025660,56025660,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Newburgh, NY--PA PMSA","Newburgh, NY--PA PMSA",387669,157435,1405.18,42.04,1363.15,284.4,115.5
3850000US56028040,56028040,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Stamford--Norwalk, CT PMSA","Stamford--Norwalk, CT PMSA",353556,139224,282.96,72.84,210.12,1682.7,662.6
3850000US56028480,56028480,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Trenton, NJ PMSA","Trenton, NJ PMSA",350761,133280,228.84,2.91,225.93,1552.5,589.9
3850000US56028880,56028880,"United States - In metropolitan statistical area - New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA - Waterbury, CT PMSA","Waterbury, CT PMSA",228984,94668,237.66,4.15,233.51,980.6,405.4
3800000US5720,5720,"United States - In metropolitan statistical area - Norfolk--Virginia Beach--Newport News, VA--NC MSA","Norfolk--Virginia Beach--Newport News, VA--NC MSA",1569541,619335,3586.2,1237.71,2348.49,668.3,263.7
3800000US5790,5790,"United States - In metropolitan statistical area - Ocala, FL MSA","Ocala, FL MSA",258916,122663,1663.01,84.15,1578.86,164,77.7
3800000US5800,5800,"United States - In metropolitan statistical area - Odessa--Midland, TX MSA","Odessa--Midland, TX MSA",237132,97560,1803.65,2.34,1801.31,131.6,54.2
3800000US5880,5880,"United States - In metropolitan statistical area - Oklahoma City, OK MSA","Oklahoma City, OK MSA",1083346,466230,4304.13,57.39,4246.74,255.1,109.8
3800000US5920,5920,"United States - In metropolitan statistical area - Omaha, NE--IA MSA","Omaha, NE--IA MSA",716998,291001,2506.79,31.36,2475.43,289.6,117.6
3800000US5960,5960,"United States - In metropolitan statistical area - Orlando, FL MSA","Orlando, FL MSA",1644561,683551,4011.81,521.11,3490.71,471.1,195.8
3800000US5990,5990,"United States - In metropolitan statistical area - Owensboro, KY MSA","Owensboro, KY MSA",91545,38432,476.27,13.88,462.39,198,83.1
3800000US6015,6015,"United States - In metropolitan statistical area - Panama City, FL MSA","Panama City, FL MSA",148217,78435,1033.27,269.6,763.68,194.1,102.7
3800000US6020,6020,"United States - In metropolitan statistical area - Parkersburg--Marietta, WV--OH MSA","Parkersburg--Marietta, WV--OH MSA",151237,67545,1017.09,14.65,1002.44,150.9,67.4
