Target Geo Id 2000,Target Geo Id2 2000,Geographical Area,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000
3800000US6080,6080,"United States - In metropolitan statistical area - Pensacola, FL MSA","Pensacola, FL MSA",412153,173766,2049.14,369.86,1679.28,245.4,103.5
3800000US6120,6120,"United States - In metropolitan statistical area - Peoria--Pekin, IL MSA","Peoria--Pekin, IL MSA",347387,144664,1831.52,35.19,1796.33,193.4,80.5
3800000US6162,6162,"United States - In metropolitan statistical area - Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA","Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA",6188463,2539825,6838.95,903.76,5935.19,1042.7,427.9
3850000US61620560,61620560,"United States - In metropolitan statistical area - Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA - Atlantic--Cape May, NJ PMSA","Atlantic--Cape May, NJ PMSA",354878,205137,1291.73,475.47,816.26,434.8,251.3
3850000US61626160,61626160,"United States - In metropolitan statistical area - Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA - Philadelphia, PA--NJ PMSA","Philadelphia, PA--NJ PMSA",5100931,2047843,3959.25,104.01,3855.23,1323.1,531.2
3850000US61628760,61628760,"United States - In metropolitan statistical area - Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA - Vineland--Millville--Bridgeton, NJ PMSA","Vineland--Millville--Bridgeton, NJ PMSA",146438,52863,676.59,187.29,489.3,299.3,108
3850000US61629160,61629160,"United States - In metropolitan statistical area - Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA - Wilmington--Newark, DE--MD PMSA","Wilmington--Newark, DE--MD PMSA",586216,233982,911.39,136.99,774.4,757,302.1
3800000US6200,6200,"United States - In metropolitan statistical area - Phoenix--Mesa, AZ MSA","Phoenix--Mesa, AZ MSA",3251876,1331385,14598.36,25.63,14572.73,223.1,91.4
3800000US6240,6240,"United States - In metropolitan statistical area - Pine Bluff, AR MSA","Pine Bluff, AR MSA",84278,34350,913.7,28.88,884.82,95.2,38.8
3800000US6280,6280,"United States - In metropolitan statistical area - Pittsburgh, PA MSA","Pittsburgh, PA MSA",2358695,1046094,4678.69,53.06,4625.63,509.9,226.2
3800000US6320,6320,"United States - In metropolitan statistical area - Pittsfield, MA MSA","Pittsfield, MA MSA",84699,40426,257.55,5.74,251.81,336.4,160.5
3800000US6340,6340,"United States - In metropolitan statistical area - Pocatello, ID MSA","Pocatello, ID MSA",75565,29102,1147.46,34.16,1113.3,67.9,26.1
3800000US6400,6400,"United States - In metropolitan statistical area - Portland, ME MSA","Portland, ME MSA",243537,111130,822.89,196.63,626.26,388.9,177.5
3800000US6442,6442,"United States - In metropolitan statistical area - Portland--Salem, OR--WA CMSA","Portland--Salem, OR--WA CMSA",2265223,918935,7072.23,119.59,6952.64,325.8,132.2
3850000US64426440,64426440,"United States - In metropolitan statistical area - Portland--Salem, OR--WA CMSA - Portland--Vancouver, OR--WA PMSA","Portland--Vancouver, OR--WA PMSA",1918009,786300,5133.95,106.29,5027.66,381.5,156.4
3850000US64427080,64427080,"United States - In metropolitan statistical area - Portland--Salem, OR--WA CMSA - Salem, OR PMSA","Salem, OR PMSA",347214,132635,1938.28,13.3,1924.98,180.4,68.9
3800000US6480,6480,"United States - In metropolitan statistical area - Providence--Fall River--Warwick, RI--MA MSA","Providence--Fall River--Warwick, RI--MA MSA",1188613,492558,1356.18,214.97,1141.21,1041.5,431.6
3800000US6520,6520,"United States - In metropolitan statistical area - Provo--Orem, UT MSA","Provo--Orem, UT MSA",368536,104315,2140.98,142.64,1998.33,184.4,52.2
3800000US6560,6560,"United States - In metropolitan statistical area - Pueblo, CO MSA","Pueblo, CO MSA",141472,58926,2397.73,9.04,2388.69,59.2,24.7
3800000US6580,6580,"United States - In metropolitan statistical area - Punta Gorda, FL MSA","Punta Gorda, FL MSA",141627,79758,859.12,165.51,693.6,204.2,115
3800000US6640,6640,"United States - In metropolitan statistical area - Raleigh--Durham--Chapel Hill, NC MSA","Raleigh--Durham--Chapel Hill, NC MSA",1187941,495612,3555.69,66.88,3488.81,340.5,142.1
3800000US6660,6660,"United States - In metropolitan statistical area - Rapid City, SD MSA","Rapid City, SD MSA",88565,37249,2784.31,8.16,2776.15,31.9,13.4
3800000US6680,6680,"United States - In metropolitan statistical area - Reading, PA MSA","Reading, PA MSA",373638,150222,865.67,6.79,858.88,435,174.9
3800000US6690,6690,"United States - In metropolitan statistical area - Redding, CA MSA","Redding, CA MSA",163256,68810,3847.44,62.24,3785.19,43.1,18.2
3800000US6720,6720,"United States - In metropolitan statistical area - Reno, NV MSA","Reno, NV MSA",339486,143908,6551.32,209.05,6342.27,53.5,22.7
3800000US6740,6740,"United States - In metropolitan statistical area - Richland--Kennewick--Pasco, WA MSA","Richland--Kennewick--Pasco, WA MSA",191822,72047,3025.47,79.98,2945.49,65.1,24.5
3800000US6760,6760,"United States - In metropolitan statistical area - Richmond--Petersburg, VA MSA","Richmond--Petersburg, VA MSA",996512,410394,3028.92,84.46,2944.47,338.4,139.4
3800000US6800,6800,"United States - In metropolitan statistical area - Roanoke, VA MSA","Roanoke, VA MSA",235932,104352,854.48,3.48,851,277.2,122.6
3800000US6820,6820,"United States - In metropolitan statistical area - Rochester, MN MSA","Rochester, MN MSA",124277,49422,654.5,1.49,653.01,190.3,75.7
3800000US6840,6840,"United States - In metropolitan statistical area - Rochester, NY MSA","Rochester, NY MSA",1098201,451362,5365.42,1939.9,3425.52,320.6,131.8
3800000US6880,6880,"United States - In metropolitan statistical area - Rockford, IL MSA","Rockford, IL MSA",371236,150238,1564.48,10.65,1553.84,238.9,96.7
3800000US6895,6895,"United States - In metropolitan statistical area - Rocky Mount, NC MSA","Rocky Mount, NC MSA",143026,61053,1049.27,3.98,1045.29,136.8,58.4
3800000US6922,6922,"United States - In metropolitan statistical area - Sacramento--Yolo, CA CMSA","Sacramento--Yolo, CA CMSA",1796857,714981,5309.25,215.11,5094.13,352.7,140.4
3850000US69226920,69226920,"United States - In metropolitan statistical area - Sacramento--Yolo, CA CMSA - Sacramento, CA PMSA","Sacramento, CA PMSA",1628197,653394,4286.36,205.49,4080.87,399,160.1
3850000US69229270,69229270,"United States - In metropolitan statistical area - Sacramento--Yolo, CA CMSA - Yolo, CA PMSA","Yolo, CA PMSA",168660,61587,1022.89,9.62,1013.27,166.5,60.8
3800000US6960,6960,"United States - In metropolitan statistical area - Saginaw--Bay City--Midland, MI MSA","Saginaw--Bay City--Midland, MI MSA",403070,165724,1974.58,200.2,1774.37,227.2,93.4
3800000US6980,6980,"United States - In metropolitan statistical area - St. Cloud, MN MSA","St. Cloud, MN MSA",167392,63751,1802.92,50.13,1752.79,95.5,36.4
3800000US7000,7000,"United States - In metropolitan statistical area - St. Joseph, MO MSA","St. Joseph, MO MSA",102490,43236,851.07,6.16,844.91,121.3,51.2
3800000US7040,7040,"United States - In metropolitan statistical area - St. Louis, MO--IL MSA","St. Louis, MO--IL MSA",2603607,1092915,6547.6,155.53,6392.07,407.3,171
3800000US7120,7120,"United States - In metropolitan statistical area - Salinas, CA MSA","Salinas, CA MSA",401762,131708,3771.07,449.12,3321.95,120.9,39.6
3800000US7160,7160,"United States - In metropolitan statistical area - Salt Lake City--Ogden, UT MSA","Salt Lake City--Ogden, UT MSA",1333914,455556,2100.95,483.55,1617.39,824.7,281.7
3800000US7200,7200,"United States - In metropolitan statistical area - San Angelo, TX MSA","San Angelo, TX MSA",104010,43916,1540.54,18.44,1522.1,68.3,28.9
3800000US7240,7240,"United States - In metropolitan statistical area - San Antonio, TX MSA","San Antonio, TX MSA",1592383,599772,3354,27.6,3326.4,478.7,180.3
3800000US7320,7320,"United States - In metropolitan statistical area - San Diego, CA MSA","San Diego, CA MSA",2813833,1040149,4525.52,325.62,4199.89,670,247.7
3800000US7362,7362,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA","San Francisco--Oakland--San Jose, CA CMSA",7039362,2651275,8798.75,1430.94,7367.81,955.4,359.8
3850000US73625775,73625775,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - Oakland, CA PMSA","Oakland, CA PMSA",2392557,894760,1623.3,165.78,1457.52,1641.5,613.9
3850000US73627360,73627360,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - San Francisco, CA PMSA","San Francisco, CA PMSA",1731183,712093,1801.13,785.56,1015.56,1704.7,701.2
3850000US73627400,73627400,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - San Jose, CA PMSA","San Jose, CA PMSA",1682585,579329,1304.01,13.32,1290.69,1303.6,448.9
3850000US73627485,73627485,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - Santa Cruz--Watsonville, CA PMSA","Santa Cruz--Watsonville, CA PMSA",255602,98873,607.16,161.92,445.24,574.1,222.1
3850000US73627500,73627500,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - Santa Rosa, CA PMSA","Santa Rosa, CA PMSA",458614,183153,1768.23,192.35,1575.88,291,116.2
3850000US73628720,73628720,"United States - In metropolitan statistical area - San Francisco--Oakland--San Jose, CA CMSA - Vallejo--Fairfield--Napa, CA PMSA","Vallejo--Fairfield--Napa, CA PMSA",518821,183067,1694.94,112.02,1582.92,327.8,115.7
3800000US7460,7460,"United States - In metropolitan statistical area - San Luis Obispo--Atascadero--Paso Robles, CA MSA","San Luis Obispo--Atascadero--Paso Robles, CA MSA",246681,102275,3615.54,311.22,3304.32,74.7,31
3800000US7480,7480,"United States - In metropolitan statistical area - Santa Barbara--Santa Maria--Lompoc, CA MSA","Santa Barbara--Santa Maria--Lompoc, CA MSA",399347,142901,3789.08,1052.07,2737.01,145.9,52.2
3800000US7490,7490,"United States - In metropolitan statistical area - Santa Fe, NM MSA","Santa Fe, NM MSA",147635,65638,2020.13,1.6,2018.54,73.1,32.5
3800000US7510,7510,"United States - In metropolitan statistical area - Sarasota--Bradenton, FL MSA","Sarasota--Bradenton, FL MSA",589959,320595,1617.93,305.35,1312.58,449.5,244.2
3800000US7520,7520,"United States - In metropolitan statistical area - Savannah, GA MSA","Savannah, GA MSA",293000,122527,1569.59,210.35,1359.24,215.6,90.1
3800000US7560,7560,"United States - In metropolitan statistical area - Scranton--Wilkes-Barre--Hazleton, PA MSA","Scranton--Wilkes-Barre--Hazleton, PA MSA",624776,280494,2266.21,34.03,2232.19,279.9,125.7
3800000US7602,7602,"United States - In metropolitan statistical area - Seattle--Tacoma--Bremerton, WA CMSA","Seattle--Tacoma--Bremerton, WA CMSA",3554760,1467176,8166.44,940.99,7225.45,492,203.1
3850000US76021150,76021150,"United States - In metropolitan statistical area - Seattle--Tacoma--Bremerton, WA CMSA - Bremerton, WA PMSA","Bremerton, WA PMSA",231969,92644,565.98,170.01,395.97,585.8,234
3850000US76025910,76025910,"United States - In metropolitan statistical area - Seattle--Tacoma--Bremerton, WA CMSA - Olympia, WA PMSA","Olympia, WA PMSA",207355,86652,773.64,46.62,727.02,285.2,119.2
3850000US76027600,76027600,"United States - In metropolitan statistical area - Seattle--Tacoma--Bremerton, WA CMSA - Seattle--Bellevue--Everett, WA PMSA","Seattle--Bellevue--Everett, WA PMSA",2414616,1010820,5020.32,596.78,4423.54,545.9,228.5
3850000US76028200,76028200,"United States - In metropolitan statistical area - Seattle--Tacoma--Bremerton, WA CMSA - Tacoma, WA PMSA","Tacoma, WA PMSA",700820,277060,1806.5,127.58,1678.91,417.4,165
3800000US7610,7610,"United States - In metropolitan statistical area - Sharon, PA MSA","Sharon, PA MSA",120293,49859,682.57,10.76,671.82,179.1,74.2
3800000US7620,7620,"United States - In metropolitan statistical area - Sheboygan, WI MSA","Sheboygan, WI MSA",112646,45947,1270.97,757.34,513.63,219.3,89.5
3800000US7640,7640,"United States - In metropolitan statistical area - Sherman--Denison, TX MSA","Sherman--Denison, TX MSA",110595,48315,979.19,45.68,933.51,118.5,51.8
3800000US7680,7680,"United States - In metropolitan statistical area - Shreveport--Bossier City, LA MSA","Shreveport--Bossier City, LA MSA",392302,167573,2418.91,102.44,2316.47,169.4,72.3
3800000US7720,7720,"United States - In metropolitan statistical area - Sioux City, IA--NE MSA","Sioux City, IA--NE MSA",124130,48922,1144.78,8.39,1136.39,109.2,43.1
3800000US7760,7760,"United States - In metropolitan statistical area - Sioux Falls, SD MSA","Sioux Falls, SD MSA",172412,69368,1392.28,4.52,1387.76,124.2,50
3800000US7800,7800,"United States - In metropolitan statistical area - South Bend, IN MSA","South Bend, IN MSA",265559,107013,460.97,3.63,457.34,580.7,234
3800000US7840,7840,"United States - In metropolitan statistical area - Spokane, WA MSA","Spokane, WA MSA",417939,175005,1780.72,17.09,1763.64,237,99.2
3800000US7880,7880,"United States - In metropolitan statistical area - Springfield, IL MSA","Springfield, IL MSA",201437,90744,1192.38,9.95,1182.43,170.4,76.7
3800000US7920,7920,"United States - In metropolitan statistical area - Springfield, MO MSA","Springfield, MO MSA",325721,138396,1835.53,4.08,1831.45,177.8,75.6
3800000US8000,8000,"United States - In metropolitan statistical area - Springfield, MA MSA","Springfield, MA MSA",591932,236653,760.23,24.6,735.63,804.7,321.7
3800000US8050,8050,"United States - In metropolitan statistical area - State College, PA MSA","State College, PA MSA",135758,53161,1111.85,4.32,1107.53,122.6,48
3800000US8080,8080,"United States - In metropolitan statistical area - Steubenville--Weirton, OH--WV MSA","Steubenville--Weirton, OH--WV MSA",132008,59169,591.49,10.21,581.28,227.1,101.8
3800000US8120,8120,"United States - In metropolitan statistical area - Stockton--Lodi, CA MSA","Stockton--Lodi, CA MSA",563598,189160,1426.25,26.97,1399.28,402.8,135.2
3800000US8140,8140,"United States - In metropolitan statistical area - Sumter, SC MSA","Sumter, SC MSA",104646,41751,682.03,16.63,665.41,157.3,62.7
3800000US8160,8160,"United States - In metropolitan statistical area - Syracuse, NY MSA","Syracuse, NY MSA",732117,313587,3643.06,560.42,3082.64,237.5,101.7
3800000US8240,8240,"United States - In metropolitan statistical area - Tallahassee, FL MSA","Tallahassee, FL MSA",284539,121677,1230.27,47.4,1182.87,240.5,102.9
3800000US8280,8280,"United States - In metropolitan statistical area - Tampa--St. Petersburg--Clearwater, FL MSA","Tampa--St. Petersburg--Clearwater, FL MSA",2395997,1143979,3330.93,776.95,2553.98,938.1,447.9
3800000US8320,8320,"United States - In metropolitan statistical area - Terre Haute, IN MSA","Terre Haute, IN MSA",149192,63705,1030.8,13,1017.8,146.6,62.6
3800000US8360,8360,"United States - In metropolitan statistical area - Texarkana, TX--Texarkana, AR MSA","Texarkana, TX--Texarkana, AR MSA",129749,54190,1560.25,48.4,1511.85,85.8,35.8
3800000US8400,8400,"United States - In metropolitan statistical area - Toledo, OH MSA","Toledo, OH MSA",618203,259959,1623.75,259.18,1364.57,453,190.5
3800000US8440,8440,"United States - In metropolitan statistical area - Topeka, KS MSA","Topeka, KS MSA",169871,73768,556.32,6.5,549.82,309,134.2
3800000US8520,8520,"United States - In metropolitan statistical area - Tucson, AZ MSA","Tucson, AZ MSA",843746,366737,9188.83,2.57,9186.27,91.8,39.9
3800000US8560,8560,"United States - In metropolitan statistical area - Tulsa, OK MSA","Tulsa, OK MSA",803235,341415,5163,148.51,5014.5,160.2,68.1
3800000US8600,8600,"United States - In metropolitan statistical area - Tuscaloosa, AL MSA","Tuscaloosa, AL MSA",164875,71429,1351.23,26.85,1324.37,124.5,53.9
3800000US8640,8640,"United States - In metropolitan statistical area - Tyler, TX MSA","Tyler, TX MSA",174706,71701,949.45,21.06,928.38,188.2,77.2
3800000US8680,8680,"United States - In metropolitan statistical area - Utica--Rome, NY MSA","Utica--Rome, NY MSA",299896,134829,2715.47,91.51,2623.95,114.3,51.4
3800000US8750,8750,"United States - In metropolitan statistical area - Victoria, TX MSA","Victoria, TX MSA",84088,32945,888.73,6.23,882.5,95.3,37.3
3800000US8780,8780,"United States - In metropolitan statistical area - Visalia--Tulare--Porterville, CA MSA","Visalia--Tulare--Porterville, CA MSA",368021,119639,4839.09,15.12,4823.97,76.3,24.8
3800000US8800,8800,"United States - In metropolitan statistical area - Waco, TX MSA","Waco, TX MSA",213517,84795,1060.23,18.34,1041.88,204.9,81.4
3800000US8872,8872,"United States - In metropolitan statistical area - Washington--Baltimore, DC--MD--VA--WV CMSA","Washington--Baltimore, DC--MD--VA--WV CMSA",7608070,3043659,10491.64,915.18,9576.45,794.5,317.8
3850000US88720720,88720720,"United States - In metropolitan statistical area - Washington--Baltimore, DC--MD--VA--WV CMSA - Baltimore, MD PMSA","Baltimore, MD PMSA",2552994,1048046,3104.45,495.4,2609.05,978.5,401.7
3850000US88723180,88723180,"United States - In metropolitan statistical area - Washington--Baltimore, DC--MD--VA--WV CMSA - Hagerstown, MD PMSA","Hagerstown, MD PMSA",131923,52972,467.55,9.41,458.14,288,115.6
3850000US88728840,88728840,"United States - In metropolitan statistical area - Washington--Baltimore, DC--MD--VA--WV CMSA - Washington, DC--MD--VA--WV PMSA","Washington, DC--MD--VA--WV PMSA",4923153,1942641,6919.64,410.37,6509.27,756.3,298.4
3800000US8920,8920,"United States - In metropolitan statistical area - Waterloo--Cedar Falls, IA MSA","Waterloo--Cedar Falls, IA MSA",128012,51759,571.91,4.8,567.11,225.7,91.3
3800000US8940,8940,"United States - In metropolitan statistical area - Wausau, WI MSA","Wausau, WI MSA",125834,50360,1576.14,31.18,1544.96,81.4,32.6
3800000US8960,8960,"United States - In metropolitan statistical area - West Palm Beach--Boca Raton, FL MSA","West Palm Beach--Boca Raton, FL MSA",1131184,556428,2386.33,412.22,1974.11,573,281.9
3800000US9000,9000,"United States - In metropolitan statistical area - Wheeling, WV--OH MSA","Wheeling, WV--OH MSA",153172,69216,962.43,11.91,950.52,161.1,72.8
3800000US9040,9040,"United States - In metropolitan statistical area - Wichita, KS MSA","Wichita, KS MSA",545220,227687,2996.34,29.78,2966.56,183.8,76.8
3800000US9080,9080,"United States - In metropolitan statistical area - Wichita Falls, TX MSA","Wichita Falls, TX MSA",140518,57175,1558.8,21.43,1537.36,91.4,37.2
3800000US9140,9140,"United States - In metropolitan statistical area - Williamsport, PA MSA","Williamsport, PA MSA",120044,52464,1243.77,8.91,1234.85,97.2,42.5
3800000US9200,9200,"United States - In metropolitan statistical area - Wilmington, NC MSA","Wilmington, NC MSA",233450,131047,1377.93,324.2,1053.73,221.5,124.4
3800000US9260,9260,"United States - In metropolitan statistical area - Yakima, WA MSA","Yakima, WA MSA",222581,79174,4311.61,15.38,4296.23,51.8,18.4
3800000US9280,9280,"United States - In metropolitan statistical area - York, PA MSA","York, PA MSA",381751,156720,910.25,5.8,904.45,422.1,173.3
3800000US9320,9320,"United States - In metropolitan statistical area - Youngstown--Warren, OH MSA","Youngstown--Warren, OH MSA",594746,252962,1593.28,29.1,1564.18,380.2,161.7
3800000US9340,9340,"United States - In metropolitan statistical area - Yuba City, CA MSA","Yuba City, CA MSA",139149,50955,1252.31,19.08,1233.24,112.8,41.3
3800000US9360,9360,"United States - In metropolitan statistical area - Yuma, AZ MSA","Yuma, AZ MSA",160026,74140,5518.96,4.87,5514.09,29,13.4
3800000US0060,60,"Puerto Rico - In metropolitan statistical area - Aguadilla, PR MSA","Aguadilla, PR MSA",146424,54725,171.4,53.59,117.8,1242.9,464.5
3800000US4840,4840,"Puerto Rico - In metropolitan statistical area - Mayagüez, PR MSA","Mayagüez, PR MSA",253347,104009,598.12,309.14,288.98,876.7,359.9
3800000US6360,6360,"Puerto Rico - In metropolitan statistical area - Ponce, PR MSA","Ponce, PR MSA",361094,125370,538.55,173.23,365.32,988.4,343.2
3800000US7442,7442,"Puerto Rico - In metropolitan statistical area - San Juan--Caguas--Arecibo, PR CMSA","San Juan--Caguas--Arecibo, PR CMSA",2450292,913918,2058.49,622.51,1435.98,1706.4,636.4
3850000US74420470,74420470,"Puerto Rico - In metropolitan statistical area - San Juan--Caguas--Arecibo, PR CMSA - Arecibo, PR PMSA","Arecibo, PR PMSA",174300,65423,291.86,77.66,214.2,813.7,305.4
3850000US74421310,74421310,"Puerto Rico - In metropolitan statistical area - San Juan--Caguas--Arecibo, PR CMSA - Caguas, PR PMSA","Caguas, PR PMSA",308365,110065,228.99,1.34,227.65,1354.5,483.5
3850000US74427440,74427440,"Puerto Rico - In metropolitan statistical area - San Juan--Caguas--Arecibo, PR CMSA - San Juan--Bayamón, PR PMSA","San Juan--Bayamón, PR PMSA",1967627,738430,1537.64,543.51,994.13,1979.2,742.8
