CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trend Sites,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
19500,"Decatur, IL",SO2,99th Percentile,1,101,84,61,61,89,71,62,62,60,101,58,65,41,49,45,44,46,51,44,36,49,33,38,33,38,39,54,3800000US2040,2040,"United States - In metropolitan statistical area - Decatur, IL MSA","Decatur, IL MSA",114706,50241,585.38,4.86,580.52,197.6,86.5,310M100US19500,19500,"United States - In metropolitan statistical area - Decatur, IL MSA",110768,50475,585.86,5.18,580.69,190.8,86.9
19500,"Decatur, IL",O3,4th Max,1,0.076,0.087,0.078,0.065,0.079,0.08,0.094,0.077,0.078,0.087,0.077,0.071,0.085,0.071,0.064,0.076,0.071,0.077,0.066,0.067,0.069,0.075,0.076,0.064,0.067,0.066,0.066,3800000US2040,2040,"United States - In metropolitan statistical area - Decatur, IL MSA","Decatur, IL MSA",114706,50241,585.38,4.86,580.52,197.6,86.5,310M100US19500,19500,"United States - In metropolitan statistical area - Decatur, IL MSA",110768,50475,585.86,5.18,580.69,190.8,86.9
21340,"El Paso, TX",NO2,Annual Mean,1,16,18,21,21,23,23,22,21,19,17,16,18,18,18,17,17,16,16,16,14,13,13,12,11,12,11,11,3800000US2320,2320,"United States - In metropolitan statistical area - El Paso, TX MSA","El Paso, TX MSA",679622,224447,1014.68,1.57,1013.11,670.8,221.5,310M100US21340,21340,"United States - In metropolitan statistical area - El Paso, TX MSA",800647,270307,1014.96,2.27,1012.69,790.6,266.9
21340,"El Paso, TX",CO,2nd Max,1,8.2,6.5,6.4,4.7,5,4.8,4.6,4.9,4.7,3.1,3.7,4.5,2.8,2.7,2.3,2.6,1.9,1.7,1.8,1.6,1.3,1.3,1.2,1.1,1.1,1.1,1.1,3800000US2320,2320,"United States - In metropolitan statistical area - El Paso, TX MSA","El Paso, TX MSA",679622,224447,1014.68,1.57,1013.11,670.8,221.5,310M100US21340,21340,"United States - In metropolitan statistical area - El Paso, TX MSA",800647,270307,1014.96,2.27,1012.69,790.6,266.9
21340,"El Paso, TX",O3,4th Max,2,0.08,0.071,0.076,0.072,0.076,0.078,0.078,0.068,0.08,0.069,0.082,0.077,0.083,0.077,0.072,0.075,0.081,0.075,0.075,0.066,0.072,0.07,0.072,0.071,0.068,0.07,0.068,3800000US2320,2320,"United States - In metropolitan statistical area - El Paso, TX MSA","El Paso, TX MSA",679622,224447,1014.68,1.57,1013.11,670.8,221.5,310M100US21340,21340,"United States - In metropolitan statistical area - El Paso, TX MSA",800647,270307,1014.96,2.27,1012.69,790.6,266.9
21500,"Erie, PA",SO2,99th Percentile,1,203,134,157,179,143,124,122,120,151,171,96,124,88,85,72,80,44,38,38,36,28,20,16,12,15,17,17,3800000US2360,2360,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280843,114322,1558.4,756.46,801.95,350.2,142.6,310M100US21500,21500,"United States - In metropolitan statistical area - Erie, PA MSA",280566,119138,1558.23,759.08,799.15,351.1,149.1
21500,"Erie, PA",NO2,98th Percentile,1,66,51,56,60,65,56,55,54,54,62,49,53,49,51,52,57,57,48,49,38,40,41,31,36,40,43,43,3800000US2360,2360,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280843,114322,1558.4,756.46,801.95,350.2,142.6,310M100US21500,21500,"United States - In metropolitan statistical area - Erie, PA MSA",280566,119138,1558.23,759.08,799.15,351.1,149.1
21500,"Erie, PA",NO2,Annual Mean,1,15,13,13,14,15,15,15,15,14,15,12,12,12,12,12,13,11,11,9,8,8,7,6,6,6,6,5,3800000US2360,2360,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280843,114322,1558.4,756.46,801.95,350.2,142.6,310M100US21500,21500,"United States - In metropolitan statistical area - Erie, PA MSA",280566,119138,1558.23,759.08,799.15,351.1,149.1
21500,"Erie, PA",O3,4th Max,1,0.084,0.091,0.084,0.081,0.09,0.088,0.083,0.087,0.098,0.096,0.078,0.089,0.098,0.091,0.074,0.086,0.077,0.084,0.074,0.069,0.075,0.072,0.082,0.068,0.065,0.066,0.067,3800000US2360,2360,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280843,114322,1558.4,756.46,801.95,350.2,142.6,310M100US21500,21500,"United States - In metropolitan statistical area - Erie, PA MSA",280566,119138,1558.23,759.08,799.15,351.1,149.1
21660,"Eugene, OR",PM10,2nd Max,1,142,184,161,151,143,135,78,91,78,93,69,75,79,60,50,73,47,59,45,45,38,46,41,40,44,31,25,3800000US2400,2400,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA","Eugene-Springfield, OR MSA",322959,138946,4721.79,167.79,4554,70.9,30.5,310M100US21660,21660,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA",351715,156112,4721.87,168.75,4553.12,77.2,34.3
21660,"Eugene, OR",O3,4th Max,2,0.068,0.068,0.073,0.054,0.069,0.062,0.086,0.058,0.076,0.062,0.056,0.064,0.066,0.075,0.066,0.068,0.073,0.06,0.059,0.065,0.058,0.059,0.061,0.055,0.058,0.07,0.057,3800000US2400,2400,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA","Eugene-Springfield, OR MSA",322959,138946,4721.79,167.79,4554,70.9,30.5,310M100US21660,21660,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA",351715,156112,4721.87,168.75,4553.12,77.2,34.3
22180,"Fayetteville, NC",O3,4th Max,1,0.087,0.078,0.079,0.093,0.084,0.081,0.086,0.085,0.093,0.1,0.086,0.081,0.094,0.086,0.072,0.084,0.072,0.08,0.075,0.065,0.071,0.073,0.068,0.062,0.061,0.06,0.064,3800000US2560,2560,"United States - In metropolitan statistical area - Fayetteville, NC MSA","Fayetteville, NC MSA",302963,118425,658.46,5.74,652.72,464.2,181.4,310M100US22180,22180,"United States - In metropolitan statistical area - Fayetteville, NC MSA",366383,153735,1050.66,7.6,1043.06,351.3,147.4
22660,"Fort Collins, CO",CO,2nd Max,1,7,9.8,6.9,6.6,6,5.2,5.1,5.2,4.1,5.1,3.8,3,2.9,2.5,3.1,2.4,2.7,2.4,3,1.8,1.7,1.3,1.7,1.4,1.4,1.4,1.3,3800000US2670,2670,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA","Fort Collins-Loveland, CO MSA",251494,105392,2633.86,32.56,2601.3,96.7,40.5,310M100US22660,22660,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA",299630,132722,2633.95,37.95,2596,115.4,51.1
22660,"Fort Collins, CO",O3,4th Max,2,0.066,0.074,0.069,0.068,0.072,0.072,0.069,0.07,0.076,0.069,0.074,0.069,0.08,0.081,0.069,0.076,0.077,0.074,0.071,0.066,0.072,0.073,0.077,0.074,0.071,0.069,0.07,3800000US2670,2670,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA","Fort Collins-Loveland, CO MSA",251494,105392,2633.86,32.56,2601.3,96.7,40.5,310M100US22660,22660,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA",299630,132722,2633.95,37.95,2596,115.4,51.1
23060,"Fort Wayne, IN",O3,4th Max,2,0.086,0.088,0.088,0.081,0.094,0.094,0.091,0.087,0.089,0.089,0.086,0.078,0.095,0.087,0.071,0.081,0.072,0.079,0.068,0.065,0.067,0.071,0.076,0.062,0.063,0.061,0.068,3800000US2760,2760,"United States - In metropolitan statistical area - Fort Wayne, IN MSA","Fort Wayne, IN MSA",502141,206237,2460.13,12.57,2447.56,205.2,84.3,310M100US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN MSA",416257,178124,1368.18,7.22,1360.96,305.9,130.9
23420,"Fresno, CA",PM10,2nd Max,2,150.5,124.5,103.5,115.5,110,113.5,88.5,97.5,105.5,121.5,111.5,120.5,86.5,81.5,66,89,98.5,83.5,82,66.5,61.5,73,69.5,85,82,80,75,3800000US2840,2840,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516,311154,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
23420,"Fresno, CA",NO2,98th Percentile,1,100,100,90,90,85,78,76,73,70,93,82,70,73,75,63,64,64,60,66,57,57,56,56,59,57,43,43,3800000US2840,2840,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516,311154,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
23420,"Fresno, CA",NO2,Annual Mean,3,20,21,20,20,19,19,18,17,17,20,18,17,17,17,15,14,14,14,12,11,9,10,10,11,10,9,8,3800000US2840,2840,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516,311154,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
23420,"Fresno, CA",CO,2nd Max,3,4.9,5.2,3.8,3.4,4.1,3.5,3.3,3,2.9,2.8,2.8,2.6,2.3,1.9,2,1.7,2.2,1.7,1.4,1.5,1.2,1.6,1.4,1.8,1.1,1.1,1.2,3800000US2840,2840,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516,311154,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
23420,"Fresno, CA",O3,4th Max,4,0.098,0.102,0.105,0.105,0.094,0.102,0.107,0.103,0.116,0.103,0.106,0.107,0.112,0.104,0.089,0.093,0.094,0.087,0.101,0.093,0.095,0.096,0.093,0.089,0.09,0.09,0.089,3800000US2840,2840,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516,311154,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420,"United States - In metropolitan statistical area - Fresno, CA MSA",930450,315531,6011.2,53.21,5957.99,156.2,53
24580,"Green Bay, WI",SO2,99th Percentile,1,106,128,111,69,71,74,66,96,61,65,87,67,62,58,53,78,68,77,78,67,69,72,72,76,79,69,13,3800000US3080,3080,"United States - In metropolitan statistical area - Green Bay, WI MSA","Green Bay, WI MSA",226778,90199,615.42,86.75,528.68,429,170.6,310M100US24580,24580,"United States - In metropolitan statistical area - Green Bay, WI MSA",306241,137212,2848.8,978.59,1870.21,163.7,73.4
26580,"Huntington-Ashland, WV-KY-OH",SO2,99th Percentile,2,143,143,114,121,129,52,57,57,66,68,54,55,44,46,53,49,41,42,43,27,36,36,15,14,16,14,7,3800000US3400,3400,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA","Huntington-Ashland, WV-KY-OH MSA",315538,141398,2185.97,26.75,2159.22,146.1,65.5,310M100US26580,26580,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA",287702,131132,1773.87,29.24,1744.63,164.9,75.2
26580,"Huntington-Ashland, WV-KY-OH",PM10,2nd Max,1,72,63,67,66,73,79,86,94,92,73,72,58,62,56,69,72,72,94,87,49,90,63,92,74,36,56,50,3800000US3400,3400,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA","Huntington-Ashland, WV-KY-OH MSA",315538,141398,2185.97,26.75,2159.22,146.1,65.5,310M100US26580,26580,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA",287702,131132,1773.87,29.24,1744.63,164.9,75.2
26580,"Huntington-Ashland, WV-KY-OH",O3,4th Max,2,0.091,0.089,0.076,0.093,0.096,0.089,0.082,0.082,0.102,0.096,0.079,0.088,0.091,0.079,0.07,0.08,0.079,0.084,0.072,0.062,0.07,0.073,0.076,0.06,0.062,0.066,0.064,3800000US3400,3400,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA","Huntington-Ashland, WV-KY-OH MSA",315538,141398,2185.97,26.75,2159.22,146.1,65.5,310M100US26580,26580,"United States - In metropolitan statistical area - Huntington-Ashland, WV-KY-OH MSA",287702,131132,1773.87,29.24,1744.63,164.9,75.2
26620,"Huntsville, AL",PM10,2nd Max,3,58,64.3,48,53,49.5,50.3,44.7,45,45.7,44.7,56.7,39.7,40.7,43,40.7,43.3,39,50,33,25.7,35,34.3,29.3,26,29.3,42.7,39,3800000US3440,3440,"United States - In metropolitan statistical area - Huntsville, AL MSA","Huntsville, AL MSA",342376,147185,1419.93,46.96,1372.97,249.4,107.2,310M100US26620,26620,"United States - In metropolitan statistical area - Huntsville, AL MSA",417593,181424,1419.89,58.36,1361.53,306.7,133.3
26620,"Huntsville, AL",O3,4th Max,1,0.079,0.082,0.087,0.087,0.075,0.08,0.081,0.086,0.092,0.093,0.088,0.08,0.078,0.079,0.077,0.075,0.079,0.082,0.073,0.066,0.071,0.072,0.076,0.064,0.064,0.063,0.066,3800000US3440,3440,"United States - In metropolitan statistical area - Huntsville, AL MSA","Huntsville, AL MSA",342376,147185,1419.93,46.96,1372.97,249.4,107.2,310M100US26620,26620,"United States - In metropolitan statistical area - Huntsville, AL MSA",417593,181424,1419.89,58.36,1361.53,306.7,133.3
27140,"Jackson, MS",O3,4th Max,1,0.079,0.069,0.067,0.07,0.068,0.075,0.076,0.079,0.082,0.082,0.08,0.078,0.072,0.069,0.068,0.072,0.078,0.071,0.068,0.061,0.067,0.073,0.066,0.059,0.06,0.06,0.06,3800000US3560,3560,"United States - In metropolitan statistical area - Jackson, MS MSA","Jackson, MS MSA",440801,174138,2425.4,64.59,2360.81,186.7,73.8,310M100US27140,27140,"United States - In metropolitan statistical area - Jackson, MS MSA",539057,222584,3795.09,68.95,3726.14,144.7,59.7
27260,"Jacksonville, FL",SO2,99th Percentile,5,167,90,98,104,114,100,68,72,91,86,99,93,76,56,64,69,69,42,34,28,58,46,26,27,33,22,22,3800000US3600,3600,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491,467451,3109.22,473.88,2635.34,417.6,177.4,310M100US27260,27260,"United States - In metropolitan statistical area - Jacksonville, FL MSA",1345596,598490,3698.42,497.34,3201.08,420.4,187
27260,"Jacksonville, FL",NO2,Annual Mean,1,15,14,14,15,14,16,15,14,15,16,15,13,15,14,14,13,12,10,9,8,9,8,8,8,8,7,7,3800000US3600,3600,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491,467451,3109.22,473.88,2635.34,417.6,177.4,310M100US27260,27260,"United States - In metropolitan statistical area - Jacksonville, FL MSA",1345596,598490,3698.42,497.34,3201.08,420.4,187
27260,"Jacksonville, FL",CO,2nd Max,2,4,3.8,3.9,4.2,3.9,3.7,3.1,2.3,3.1,3.5,3,2.8,2.3,2.2,2,2.1,1.4,1.7,1.4,0.9,1.3,1.8,1.4,0.7,0.8,0.9,1.8,3800000US3600,3600,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491,467451,3109.22,473.88,2635.34,417.6,177.4,310M100US27260,27260,"United States - In metropolitan statistical area - Jacksonville, FL MSA",1345596,598490,3698.42,497.34,3201.08,420.4,187
27260,"Jacksonville, FL",O3,4th Max,1,0.08,0.069,0.075,0.08,0.069,0.068,0.073,0.073,0.084,0.08,0.072,0.072,0.066,0.067,0.078,0.076,0.079,0.076,0.071,0.065,0.068,0.067,0.059,0.055,0.062,0.06,0.057,3800000US3600,3600,"United States - In metropolitan statistical area - Jacksonville, FL MSA","Jacksonville, FL MSA",1100491,467451,3109.22,473.88,2635.34,417.6,177.4,310M100US27260,27260,"United States - In metropolitan statistical area - Jacksonville, FL MSA",1345596,598490,3698.42,497.34,3201.08,420.4,187
27780,"Johnstown, PA",SO2,99th Percentile,1,182,162,147,159,143,102,85,86,110,84,88,92,82,90,86,97,94,68,75,68,56,39,44,49,54,34,21,3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4,310M100US27780,27780,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679,65650,693.63,5.28,688.35,208.7,95.4
27780,"Johnstown, PA",NO2,98th Percentile,1,58,57,57,54,55,52,51,50,45,48,48,46,42,42,45,45,42,44,45,38,43,42,34,37,41,39,36,3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4,310M100US27780,27780,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679,65650,693.63,5.28,688.35,208.7,95.4
27780,"Johnstown, PA",NO2,Annual Mean,1,18,19,18,17,18,15,18,16,15,15,15,14,12,13,13,13,12,12,12,9,10,9,9,8,7,9,7,3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4,310M100US27780,27780,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679,65650,693.63,5.28,688.35,208.7,95.4
27780,"Johnstown, PA",CO,2nd Max,1,3.7,4.8,4.4,4.2,4.1,3.5,4.8,2.7,3.1,2.8,2,2.1,2.6,2.2,2.1,1.2,1.5,1.9,1.6,1.4,1.1,1.4,1.2,1.6,1.2,1.1,0.7,3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4,310M100US27780,27780,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679,65650,693.63,5.28,688.35,208.7,95.4
27780,"Johnstown, PA",O3,4th Max,1,0.08,0.096,0.074,0.083,0.083,0.09,0.083,0.092,0.098,0.09,0.086,0.09,0.088,0.083,0.071,0.077,0.073,0.072,0.067,0.064,0.072,0.072,0.073,0.065,0.06,0.065,0.064,3800000US3680,3680,"United States - In metropolitan statistical area - Johnstown, PA MSA","Johnstown, PA MSA",232621,102959,1774.6,11.92,1762.68,132,58.4,310M100US27780,27780,"United States - In metropolitan statistical area - Johnstown, PA MSA",143679,65650,693.63,5.28,688.35,208.7,95.4
28140,"Kansas City, MO-KS",SO2,99th Percentile,1,60,27,72,62,55,78,62,39,17,29,71,29,79,111,143,139,170,160,177,175,168,162,167,156,125,142,9,3800000US3760,3760,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA","Kansas City, MO-KS MSA",1776062,740884,5485.39,79.18,5406.21,328.5,137,310M100US28140,28140,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA",2035334,883099,7950.44,123.09,7827.34,260,112.8
28140,"Kansas City, MO-KS",O3,4th Max,2,0.075,0.088,0.079,0.08,0.09,0.098,0.085,0.097,0.093,0.083,0.088,0.076,0.085,0.088,0.069,0.084,0.092,0.077,0.07,0.073,0.072,0.08,0.085,0.067,0.066,0.063,0.066,3800000US3760,3760,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA","Kansas City, MO-KS MSA",1776062,740884,5485.39,79.18,5406.21,328.5,137,310M100US28140,28140,"United States - In metropolitan statistical area - Kansas City, MO-KS MSA",2035334,883099,7950.44,123.09,7827.34,260,112.8
28940,"Knoxville, TN",PM10,2nd Max,1,56,56,44,50,52,56,78,44,41,35,57,40,38,42,39,44,41,43,36,24,40,42,35,28,26,22,22,3800000US3840,3840,"United States - In metropolitan statistical area - Knoxville, TN MSA","Knoxville, TN MSA",687249,313394,2529.42,80.16,2449.26,280.6,128,310M100US28940,28940,"United States - In metropolitan statistical area - Knoxville, TN MSA",698030,315615,1931.72,74.87,1856.85,375.9,170
28940,"Knoxville, TN",O3,4th Max,4,0.093,0.083,0.083,0.091,0.088,0.094,0.091,0.093,0.104,0.099,0.096,0.087,0.099,0.086,0.075,0.084,0.082,0.087,0.08,0.067,0.075,0.075,0.075,0.061,0.062,0.066,0.068,3800000US3840,3840,"United States - In metropolitan statistical area - Knoxville, TN MSA","Knoxville, TN MSA",687249,313394,2529.42,80.16,2449.26,280.6,128,310M100US28940,28940,"United States - In metropolitan statistical area - Knoxville, TN MSA",698030,315615,1931.72,74.87,1856.85,375.9,170
29340,"Lake Charles, LA",O3,4th Max,1,0.085,0.087,0.073,0.077,0.075,0.084,0.077,0.085,0.09,0.073,0.082,0.078,0.074,0.084,0.082,0.085,0.08,0.078,0.069,0.077,0.078,0.072,0.072,0.065,0.067,0.072,0.065,3800000US3960,3960,"United States - In metropolitan statistical area - Lake Charles, LA MSA","Lake Charles, LA MSA",183577,75995,1094.34,23.22,1071.12,171.4,70.9,310M100US29340,29340,"United States - In metropolitan statistical area - Lake Charles, LA MSA",199607,85651,3030.94,682.4,2348.55,85,36.5
29460,"Lakeland-Winter Haven, FL",O3,4th Max,1,0.066,0.066,0.066,0.08,0.071,0.071,0.068,0.079,0.088,0.078,0.079,0.081,0.072,0.074,0.069,0.074,0.076,0.077,0.069,0.065,0.064,0.069,0.071,0.064,0.063,0.062,0.064,3800000US3980,3980,"United States - In metropolitan statistical area - Lakeland-Winter Haven, FL MSA","Lakeland-Winter Haven, FL MSA",483924,226376,2009.99,135.6,1874.38,258.2,120.8,310M100US29460,29460,"United States - In metropolitan statistical area - Lakeland-Winter Haven, FL MSA",602095,281214,2010.55,212.71,1797.84,334.9,156.4
29540,"Lancaster, PA",NO2,98th Percentile,1,56,62,50,55,70,60,56,52,48,54,50,50,44,49,48,50,46,42,39,38,42,48,36,37,42,46,46,3800000US4000,4000,"United States - In metropolitan statistical area - Lancaster, PA MSA","Lancaster, PA MSA",470658,179990,983.81,34.75,949.06,495.9,189.7,310M100US29540,29540,"United States - In metropolitan statistical area - Lancaster, PA MSA",519445,202952,983.8,39.99,943.81,550.4,215
29540,"Lancaster, PA",NO2,Annual Mean,1,17,18,15,15,19,16,17,16,15,15,14,14,13,15,14,14,13,12,11,10,8,12,9,9,9,9,9,3800000US4000,4000,"United States - In metropolitan statistical area - Lancaster, PA MSA","Lancaster, PA MSA",470658,179990,983.81,34.75,949.06,495.9,189.7,310M100US29540,29540,"United States - In metropolitan statistical area - Lancaster, PA MSA",519445,202952,983.8,39.99,943.81,550.4,215
29540,"Lancaster, PA",O3,4th Max,1,0.087,0.099,0.086,0.095,0.093,0.102,0.085,0.102,0.101,0.102,0.09,0.097,0.097,0.083,0.081,0.085,0.085,0.083,0.08,0.069,0.082,0.078,0.081,0.066,0.066,0.07,0.071,3800000US4000,4000,"United States - In metropolitan statistical area - Lancaster, PA MSA","Lancaster, PA MSA",470658,179990,983.81,34.75,949.06,495.9,189.7,310M100US29540,29540,"United States - In metropolitan statistical area - Lancaster, PA MSA",519445,202952,983.8,39.99,943.81,550.4,215
29620,"Lansing-East Lansing, MI",O3,4th Max,2,0.08,0.083,0.08,0.079,0.079,0.082,0.077,0.077,0.08,0.088,0.076,0.085,0.087,0.086,0.069,0.08,0.071,0.081,0.069,0.067,0.065,0.07,0.08,0.065,0.066,0.064,0.073,3800000US4040,4040,"United States - In metropolitan statistical area - Lansing-East Lansing, MI MSA","Lansing-East Lansing, MI MSA",447728,181804,1714.53,7.48,1707.06,262.3,106.5,310M100US29620,29620,"United States - In metropolitan statistical area - Lansing-East Lansing, MI MSA",464036,199026,1714.7,17,1697.7,273.3,117.2
29740,"Las Cruces, NM",PM10,2nd Max,1,146,108,106,97,125,84,78,62,55,104,63,70,95,169,81,64,186,115,79,89,75,151,60,228,80,39,50,3800000US4100,4100,"United States - In metropolitan statistical area - Las Cruces, NM MSA","Las Cruces, NM MSA",174682,65210,3814.62,7.44,3807.18,45.9,17.1,310M100US29740,29740,"United States - In metropolitan statistical area - Las Cruces, NM MSA",209233,81492,3814.38,6.87,3807.51,55,21.4
29740,"Las Cruces, NM",O3,4th Max,2,0.074,0.074,0.075,0.078,0.079,0.08,0.079,0.071,0.076,0.078,0.077,0.073,0.077,0.078,0.07,0.07,0.073,0.069,0.068,0.063,0.063,0.065,0.074,0.063,0.066,0.069,0.065,3800000US4100,4100,"United States - In metropolitan statistical area - Las Cruces, NM MSA","Las Cruces, NM MSA",174682,65210,3814.62,7.44,3807.18,45.9,17.1,310M100US29740,29740,"United States - In metropolitan statistical area - Las Cruces, NM MSA",209233,81492,3814.38,6.87,3807.51,55,21.4
30700,"Lincoln, NE",O3,4th Max,1,0.057,0.06,0.067,0.049,0.062,0.06,0.054,0.054,0.058,0.053,0.057,0.051,0.054,0.06,0.056,0.056,0.056,0.054,0.051,0.053,0.05,0.053,0.058,0.055,0.061,0.061,0.058,3800000US4360,4360,"United States - In metropolitan statistical area - Lincoln, NE MSA","Lincoln, NE MSA",250291,104217,846.71,7.83,838.88,298.4,124.2,310M100US30700,30700,"United States - In metropolitan statistical area - Lincoln, NE MSA",302157,127750,1422.27,13.29,1408.98,214.5,90.7
31540,"Madison, WI",O3,4th Max,2,0.077,0.082,0.079,0.062,0.07,0.084,0.082,0.076,0.076,0.086,0.072,0.078,0.081,0.078,0.065,0.079,0.066,0.079,0.064,0.063,0.062,0.068,0.074,0.067,0.068,0.064,0.068,3800000US4720,4720,"United States - In metropolitan statistical area - Madison, WI MSA","Madison, WI MSA",426526,180398,1238.32,36.42,1201.89,354.9,150.1,310M100US31540,31540,"United States - In metropolitan statistical area - Madison, WI MSA",568593,252878,2802.15,76.8,2725.35,208.6,92.8
32900,"Merced, CA",NO2,Annual Mean,1,15,15,15,14,13,12,12,13,12,13,12,12,12,12,11,11,10,9,9,8,7,7,7,8,8,7,7,3800000US4940,4940,"United States - In metropolitan statistical area - Merced, CA MSA","Merced, CA MSA",210554,68373,1971.87,43.18,1928.69,109.2,35.5,310M100US32900,32900,"United States - In metropolitan statistical area - Merced, CA MSA",255793,83698,1978.51,43.54,1934.97,132.2,43.3
32900,"Merced, CA",O3,4th Max,1,0.102,0.102,0.102,0.096,0.097,0.107,0.102,0.074,0.112,0.105,0.103,0.096,0.105,0.107,0.096,0.083,0.087,0.087,0.105,0.08,0.09,0.082,0.079,0.083,0.082,0.083,0.082,3800000US4940,4940,"United States - In metropolitan statistical area - Merced, CA MSA","Merced, CA MSA",210554,68373,1971.87,43.18,1928.69,109.2,35.5,310M100US32900,32900,"United States - In metropolitan statistical area - Merced, CA MSA",255793,83698,1978.51,43.54,1934.97,132.2,43.3
33660,"Mobile, AL",O3,4th Max,1,0.087,0.061,0.076,0.074,0.072,0.079,0.081,0.081,0.098,0.085,0.089,0.076,0.075,0.08,0.074,0.073,0.085,0.077,0.076,0.067,0.074,0.07,0.069,0.06,0.068,0.06,0.062,3800000US5160,5160,"United States - In metropolitan statistical area - Mobile, AL MSA","Mobile, AL MSA",540258,239386,3670.95,841.51,2829.44,190.9,84.6,310M100US33660,33660,"United States - In metropolitan statistical area - Mobile, AL MSA",412992,178196,1644.01,414.58,1229.44,335.9,144.9
33700,"Modesto, CA",NO2,Annual Mean,1,21,21,21,17,18,17,17,18,18,19,16,17,17,15,14,13,13,12,12,11,10,11,11,11,10,9,9,3800000US5170,5170,"United States - In metropolitan statistical area - Modesto, CA MSA","Modesto, CA MSA",446997,150807,1514.67,20.88,1493.79,299.2,101,310M100US33700,33700,"United States - In metropolitan statistical area - Modesto, CA MSA",514453,179503,1514.69,19.86,1494.83,344.2,120.1
