MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Lancaster, PA MSA",29540,422822,427605.6,432389.2,437172.8,441956.4,446740,451523.6,456307.2,461090.8,465874.4,470658,475536.7,480415.4,485294.1,490172.8,495051.5,499930.2,504808.9,509687.6,514566.3,519445,445.5,450.54,455.58,460.62,465.66,470.7,475.74,480.78,485.82,490.86,495.9,501.35,506.8,512.25,517.7,523.15,528.6,534.05,539.5,544.95,550.4
"Lansing--East Lansing, MI MSA",29620,432674,434179.4,435684.8,437190.2,438695.6,440201,441706.4,443211.8,444717.2,446222.6,447728,449358.8,450989.6,452620.4,454251.2,455882,457512.8,459143.6,460774.4,462405.2,464036,253.4,254.29,255.18,256.07,256.96,257.85,258.74,259.63,260.52,261.41,262.3,263.4,264.5,265.6,266.7,267.8,268.9,270,271.1,272.2,273.3
"Laredo, TX MSA",29700,133239,139226.8,145214.6,151202.4,157190.2,163178,169165.8,175153.6,181141.4,187129.2,193117,198835.7,204554.4,210273.1,215991.8,221710.5,227429.2,233147.9,238866.6,244585.3,250304,39.7,41.48,43.26,45.04,46.82,48.6,50.38,52.16,53.94,55.72,57.5,59.2,60.9,62.6,64.3,66,67.7,69.4,71.1,72.8,74.5
"Las Cruces, NM MSA",29740,135510,139427.2,143344.4,147261.6,151178.8,155096,159013.2,162930.4,166847.6,170764.8,174682,178137.1,181592.2,185047.3,188502.4,191957.5,195412.6,198867.7,202322.8,205777.9,209233,35.6,36.63,37.66,38.69,39.72,40.75,41.78,42.81,43.84,44.87,45.9,46.81,47.72,48.63,49.54,50.45,51.36,52.27,53.18,54.09,55
"Las Vegas, NV--AZ MSA",29820,741459,823641.3,905823.6,988005.9,1070188.2,1152370.5,1234552.8,1316735.1,1398917.4,1481099.7,1563282,1602080.7,1640879.4,1679678.1,1718476.8,1757275.5,1796074.2,1834872.9,1873671.6,1912470.3,1951269,93.7,88.3,82.9,77.5,72.1,66.7,61.3,55.9,50.5,45.1,39.7,60.46,81.22,101.98,122.74,143.5,164.26,185.02,205.78,226.54,247.3
"Lawrence, KS MSA",29940,81798,83614.4,85430.8,87247.2,89063.6,90880,92696.4,94512.8,96329.2,98145.6,99962,101048.4,102134.8,103221.2,104307.6,105394,106480.4,107566.8,108653.2,109739.6,110826,179,182.98,186.96,190.94,194.92,198.9,202.88,206.86,210.84,214.82,218.8,221.23,223.66,226.09,228.52,230.95,233.38,235.81,238.24,240.67,243.1
"Lawrence, MA--NH PMSA",,393516,393787.4,394058.8,394330.2,394601.6,394873,395144.4,395415.8,395687.2,395958.6,396230,,,,,,,,,,,851.5,856.9,862.3,867.7,873.1,878.5,883.9,889.3,894.7,900.1,905.5,,,,,,,,,,
"Lawton, OK MSA",30020,111486,111837,112188,112539,112890,113241,113592,113943,114294,114645,114996,115906.2,116816.4,117726.6,118636.8,119547,120457.2,121367.4,122277.6,123187.8,124098,104.2,104.53,104.86,105.19,105.52,105.85,106.18,106.51,106.84,107.17,107.5,108.36,109.22,110.08,110.94,111.8,112.66,113.52,114.38,115.24,116.1
"Lewiston--Auburn, ME MSA",30340,88141,88409.9,88678.8,88947.7,89216.6,89485.5,89754.4,90023.3,90292.2,90561.1,90830,92517.2,94204.4,95891.6,97578.8,99266,100953.2,102640.4,104327.6,106014.8,107702,385.3,376.59,367.88,359.17,350.46,341.75,333.04,324.33,315.62,306.91,298.2,291.4,284.6,277.8,271,264.2,257.4,250.6,243.8,237,230.2
"Lexington, KY MSA",30460,348428,361505,374582,387659,400736,413813,426890,439967,453044,466121,479198,478488.1,477778.2,477068.3,476358.4,475648.5,474938.6,474228.7,473518.8,472808.9,472099,235.5,236.92,238.34,239.76,241.18,242.6,244.02,245.44,246.86,248.28,249.7,256.88,264.06,271.24,278.42,285.6,292.78,299.96,307.14,314.32,321.5
"Lima, OH MSA",30620,154340,154414.4,154488.8,154563.2,154637.6,154712,154786.4,154860.8,154935.2,155009.6,155084,150208.7,145333.4,140458.1,135582.8,130707.5,125832.2,120956.9,116081.6,111206.3,106331,191.6,191.69,191.78,191.87,191.96,192.05,192.14,192.23,192.32,192.41,192.5,199.67,206.84,214.01,221.18,228.35,235.52,242.69,249.86,257.03,264.2
"Lincoln, NE MSA",30700,213641,217306,220971,224636,228301,231966,235631,239296,242961,246626,250291,255477.6,260664.2,265850.8,271037.4,276224,281410.6,286597.2,291783.8,296970.4,302157,254.7,259.07,263.44,267.81,272.18,276.55,280.92,285.29,289.66,294.03,298.4,290.01,281.62,273.23,264.84,256.45,248.06,239.67,231.28,222.89,214.5
"Little Rock--North Little Rock, AR MSA",30780,513117,520189.8,527262.6,534335.4,541408.2,548481,555553.8,562626.6,569699.4,576772.2,583845,595436.2,607027.4,618618.6,630209.8,641801,653392.2,664983.4,676574.6,688165.8,699757,176.4,178.84,181.28,183.72,186.16,188.6,191.04,193.48,195.92,198.36,200.8,197.85,194.9,191.95,189,186.05,183.1,180.15,177.2,174.25,171.3
"Longview--Marshall, TX MSA",30980,162431,167065.9,171700.8,176335.7,180970.6,185605.5,190240.4,194875.3,199510.2,204145.1,208780,209338.9,209897.8,210456.7,211015.6,211574.5,212133.4,212692.3,213251.2,213810.1,214369,138.5,136.51,134.52,132.53,130.54,128.55,126.56,124.57,122.58,120.59,118.6,118.78,118.96,119.14,119.32,119.5,119.68,119.86,120.04,120.22,120.4
"Los Angeles--Long Beach, CA PMSA",31100,8863164,8928781.4,8994398.8,9060016.2,9125633.6,9191251,9256868.4,9322485.8,9388103.2,9453720.6,9519338,9850287.9,10181237.8,10512187.7,10843137.6,11174087.5,11505037.4,11835987.3,12166937.2,12497887.1,12828837,2183.1,2199.21,2215.32,2231.43,2247.54,2263.65,2279.76,2295.87,2311.98,2328.09,2344.2,2374.38,2404.56,2434.74,2464.92,2495.1,2525.28,2555.46,2585.64,2615.82,2646
"Los Angeles--Riverside--Orange County, CA CMSA",,,,,,,,,,,,16373645,,,,,,,,,,,,,,,,,,,,,482.2,,,,,,,,,,
"Louisville, KY--IN MSA",31140,952662,959955.6,967249.2,974542.8,981836.4,989130,996423.6,1003717.2,1011010.8,1018304.4,1025598,1051394.8,1077191.6,1102988.4,1128785.2,1154582,1180378.8,1206175.6,1231972.4,1257769.2,1283566,420.4,427.86,435.32,442.78,450.24,457.7,465.16,472.62,480.08,487.54,495,476.72,458.44,440.16,421.88,403.6,385.32,367.04,348.76,330.48,312.2
"Lowell, MA--NH PMSA",,273067,275928.9,278790.8,281652.7,284514.6,287376.5,290238.4,293100.3,295962.2,298824.1,301686,,,,,,,,,,,1258.7,1253.65,1248.6,1243.55,1238.5,1233.45,1228.4,1223.35,1218.3,1213.25,1208.2,,,,,,,,,,
"Lubbock, TX MSA",31180,222636,224635.2,226634.4,228633.6,230632.8,232632,234631.2,236630.4,238629.6,240628.8,242628,246854.2,251080.4,255306.6,259532.8,263759,267985.2,272211.4,276437.6,280663.8,284890,247.5,249.72,251.94,254.16,256.38,258.6,260.82,263.04,265.26,267.48,269.7,258.59,247.48,236.37,225.26,214.15,203.04,191.93,180.82,169.71,158.6
"Lynchburg, VA MSA",31340,142199,149470.2,156741.4,164012.6,171283.8,178555,185826.2,193097.4,200368.6,207639.8,214911,218683.3,222455.6,226227.9,230000.2,233772.5,237544.8,241317.1,245089.4,248861.7,252634,138.2,136.38,134.56,132.74,130.92,129.1,127.28,125.46,123.64,121.82,120,119.91,119.82,119.73,119.64,119.55,119.46,119.37,119.28,119.19,119.1
"Macon, GA MSA",31420,281103,285247.6,289392.2,293536.8,297681.4,301826,305970.6,310115.2,314259.8,318404.4,322549,313523.4,304497.8,295472.2,286446.6,277421,268395.4,259369.8,250344.2,241318.6,232293,239.9,236.97,234.04,231.11,228.18,225.25,222.32,219.39,216.46,213.53,210.6,203.02,195.44,187.86,180.28,172.7,165.12,157.54,149.96,142.38,134.8
"Madison, WI MSA",31540,367085,373029.1,378973.2,384917.3,390861.4,396805.5,402749.6,408693.7,414637.8,420581.9,426526,440732.7,454939.4,469146.1,483352.8,497559.5,511766.2,525972.9,540179.6,554386.3,568593,305.4,310.35,315.3,320.25,325.2,330.15,335.1,340.05,345,349.95,354.9,340.27,325.64,311.01,296.38,281.75,267.12,252.49,237.86,223.23,208.6
"Manchester, NH PMSA",31700,147809,152865.9,157922.8,162979.7,168036.6,173093.5,178150.4,183207.3,188264.2,193321.1,198378,218612.3,238846.6,259080.9,279315.2,299549.5,319783.8,340018.1,360252.4,380486.7,400721,687.3,681.41,675.52,669.63,663.74,657.85,651.96,646.07,640.18,634.29,628.4,611.3,594.2,577.1,560,542.9,525.8,508.7,491.6,474.5,457.4
"Mansfield, OH MSA",31900,126137,131105.1,136073.2,141041.3,146009.4,150977.5,155945.6,160913.7,165881.8,170849.9,175818,170683.7,165549.4,160415.1,155280.8,150146.5,145012.2,139877.9,134743.6,129609.3,124475,253.8,247.98,242.16,236.34,230.52,224.7,218.88,213.06,207.24,201.42,195.6,201.17,206.74,212.31,217.88,223.45,229.02,234.59,240.16,245.73,251.3
"Mayagüez, PR MSA",32420,,,,,,,,,,,253347,238645.3,223943.6,209241.9,194540.2,179838.5,165136.8,150435.1,135733.4,121031.7,106330,,,,,,,,,,,876.7,908.52,940.34,972.16,1003.98,1035.8,1067.62,1099.44,1131.26,1163.08,1194.9
"McAllen--Edinburg--Mission, TX MSA",32580,383545,402136.8,420728.6,439320.4,457912.2,476504,495095.8,513687.6,532279.4,550871.2,569463,589993.6,610524.2,631054.8,651585.4,672116,692646.6,713177.2,733707.8,754238.4,774769,244.4,256.24,268.08,279.92,291.76,303.6,315.44,327.28,339.12,350.96,362.8,375.84,388.88,401.92,414.96,428,441.04,454.08,467.12,480.16,493.2
"Medford--Ashland, OR MSA",32780,146389,149877,153365,156853,160341,163829,167317,170805,174293,177781,181269,183462.7,185656.4,187850.1,190043.8,192237.5,194431.2,196624.9,198818.6,201012.3,203206,52.6,53.85,55.1,56.35,57.6,58.85,60.1,61.35,62.6,63.85,65.1,,,,,,,,,,
"Melbourne--Titusville--Palm Bay, FL MSA",,398978,406703.2,414428.4,422153.6,429878.8,437604,445329.2,453054.4,460779.6,468504.8,476230,,,,,,,,,,,391.7,399.3,406.9,414.5,422.1,429.7,437.3,444.9,452.5,460.1,467.7,,,,,,,,,,
"Memphis, TN--AR--MS MSA",32820,981747,997133.7,1012520.4,1027907.1,1043293.8,1058680.5,1074067.2,1089453.9,1104840.6,1120227.3,1135614,1153662.6,1171711.2,1189759.8,1207808.4,1225857,1243905.6,1261954.2,1280002.8,1298051.4,1316100,426.3,421.44,416.58,411.72,406.86,402,397.14,392.28,387.42,382.56,377.7,368.68,359.66,350.64,341.62,332.6,323.58,314.56,305.54,296.52,287.5
"Merced, CA MSA",32900,178403,181618.1,184833.2,188048.3,191263.4,194478.5,197693.6,200908.7,204123.8,207338.9,210554,215077.9,219601.8,224125.7,228649.6,233173.5,237697.4,242221.3,246745.2,251269.1,255793,92.5,94.17,95.84,97.51,99.18,100.85,102.52,104.19,105.86,107.53,109.2,111.5,113.8,116.1,118.4,120.7,123,125.3,127.6,129.9,132.2
"Miami, FL PMSA",,1937094,1968720.8,2000347.6,2031974.4,2063601.2,2095228,2126854.8,2158481.6,2190108.4,2221735.2,2253362,,,,,,,,,,,1012.4,1026.95,1041.5,1056.05,1070.6,1085.15,1099.7,1114.25,1128.8,1143.35,1157.9,,,,,,,,,,
"Miami--Fort Lauderdale, FL CMSA",33100,3192582,3260961.8,3329341.6,3397721.4,3466101.2,3534481,3602860.8,3671240.6,3739620.4,3808000.2,3876380,4045205.5,4214031,4382856.5,4551682,4720507.5,4889333,5058158.5,5226984,5395809.5,5564635,996.1,1019.49,1042.88,1066.27,1089.66,1113.05,1136.44,1159.83,1183.22,1206.61,1230,1216.6,1203.2,1189.8,1176.4,1163,1149.6,1136.2,1122.8,1109.4,1096
"Middlesex--Somerset--Hunterdon, NJ PMSA",,1019835,1034815.6,1049796.2,1064776.8,1079757.4,1094738,1109718.6,1124699.2,1139679.8,1154660.4,1169641,,,,,,,,,,,975.5,989.95,1004.4,1018.85,1033.3,1047.75,1062.2,1076.65,1091.1,1105.55,1120,,,,,,,,,,
"Milwaukee--Racine, WI CMSA",,1607183,1615421.9,1623660.8,1631899.7,1640138.6,1648377.5,1656616.4,1664855.3,1673094.2,1681333.1,1689572,,,,,,,,,,,896.3,900.9,905.5,910.1,914.7,919.3,923.9,928.5,933.1,937.7,942.3,,,,,,,,,,
"Milwaukee--Waukesha, WI PMSA",33340,1432149,1439008.2,1445867.4,1452726.6,1459585.8,1466445,1473304.2,1480163.4,1487022.6,1493881.8,1500741,1506257.7,1511774.4,1517291.1,1522807.8,1528324.5,1533841.2,1539357.9,1544874.6,1550391.3,1555908,980.9,985.61,990.32,995.03,999.74,1004.45,1009.16,1013.87,1018.58,1023.29,1028,1032.15,1036.3,1040.45,1044.6,1048.75,1052.9,1057.05,1061.2,1065.35,1069.5
"Minneapolis--St. Paul, MN--WI MSA",33460,2464124,2514592.2,2565060.4,2615528.6,2665996.8,2716465,2766933.2,2817401.4,2867869.6,2918337.8,2968806,2999908.7,3031011.4,3062114.1,3093216.8,3124319.5,3155422.2,3186524.9,3217627.6,3248730.3,3279833,487.8,487.99,488.18,488.37,488.56,488.75,488.94,489.13,489.32,489.51,489.7,495.15,500.6,506.05,511.5,516.95,522.4,527.85,533.3,538.75,544.2
"Missoula, MT MSA",33540,,,,,,,,,,,95802,97151.7,98501.4,99851.1,101200.8,102550.5,103900.2,105249.9,106599.6,107949.3,109299,,,,,,,,,,,36.9,37.42,37.94,38.46,38.98,39.5,40.02,40.54,41.06,41.58,42.1
"Mobile, AL MSA",33660,476923,483256.5,489590,495923.5,502257,508590.5,514924,521257.5,527591,533924.5,540258,527531.4,514804.8,502078.2,489351.6,476625,463898.4,451171.8,438445.2,425718.6,412992,168.5,170.74,172.98,175.22,177.46,179.7,181.94,184.18,186.42,188.66,190.9,205.4,219.9,234.4,248.9,263.4,277.9,292.4,306.9,321.4,335.9
"Modesto, CA MSA",33700,370522,378169.5,385817,393464.5,401112,408759.5,416407,424054.5,431702,439349.5,446997,453742.6,460488.2,467233.8,473979.4,480725,487470.6,494216.2,500961.8,507707.4,514453,247.9,253.03,258.16,263.29,268.42,273.55,278.68,283.81,288.94,294.07,299.2,303.7,308.2,312.7,317.2,321.7,326.2,330.7,335.2,339.7,344.2
"Monmouth--Ocean, NJ PMSA",,986327,1000316,1014305,1028294,1042283,1056272,1070261,1084250,1098239,1112228,1126217,,,,,,,,,,,890,902.62,915.24,927.86,940.48,953.1,965.72,978.34,990.96,1003.58,1016.2,,,,,,,,,,
"Monroe, LA MSA",33740,142191,142696.9,143202.8,143708.7,144214.6,144720.5,145226.4,145732.3,146238.2,146744.1,147250,150169.1,153088.2,156007.3,158926.4,161845.5,164764.6,167683.7,170602.8,173521.9,176441,232.7,233.55,234.4,235.25,236.1,236.95,237.8,238.65,239.5,240.35,241.2,228.94,216.68,204.42,192.16,179.9,167.64,155.38,143.12,130.86,118.6
"Montgomery, AL MSA",33860,292517,296570.8,300624.6,304678.4,308732.2,312786,316839.8,320893.6,324947.4,329001.2,333055,337203.1,341351.2,345499.3,349647.4,353795.5,357943.6,362091.7,366239.8,370387.9,374536,145.7,147.72,149.74,151.76,153.78,155.8,157.82,159.84,161.86,163.88,165.9,163.11,160.32,157.53,154.74,151.95,149.16,146.37,143.58,140.79,138
"Muncie, IN MSA",34620,119659,119570,119481,119392,119303,119214,119125,119036,118947,118858,118769,118659.2,118549.4,118439.6,118329.8,118220,118110.2,118000.4,117890.6,117780.8,117671,304.2,303.98,303.76,303.54,303.32,303.1,302.88,302.66,302.44,302.22,302,301.81,301.62,301.43,301.24,301.05,300.86,300.67,300.48,300.29,300.1
"Myrtle Beach, SC MSA",34820,,,,,,,,,,,196629,203895.2,211161.4,218427.6,225693.8,232960,240226.2,247492.4,254758.6,262024.8,269291,,,,,,,,,,,173.4,179.81,186.22,192.63,199.04,205.45,211.86,218.27,224.68,231.09,237.5
"Naples, FL MSA",34940,152099,162026.8,171954.6,181882.4,191810.2,201738,211665.8,221593.6,231521.4,241449.2,251377,258391.3,265405.6,272419.9,279434.2,286448.5,293462.8,300477.1,307491.4,314505.7,321520,75.1,80,84.9,89.8,94.7,99.6,104.5,109.4,114.3,119.2,124.1,127.78,131.46,135.14,138.82,142.5,146.18,149.86,153.54,157.22,160.9
"Nashua, NH PMSA",,180557,181596.2,182635.4,183674.6,184713.8,185753,186792.2,187831.4,188870.6,189909.8,190949,,,,,,,,,,,597.2,596.46,595.72,594.98,594.24,593.5,592.76,592.02,591.28,590.54,589.8,,,,,,,,,,
"Nashville, TN MSA",34980,985026,1009654.5,1034283,1058911.5,1083540,1108168.5,1132797,1157425.5,1182054,1206682.5,1231311,1267173.3,1303035.6,1338897.9,1374760.2,1410622.5,1446484.8,1482347.1,1518209.4,1554071.7,1589934,241.8,247.85,253.9,259.95,266,272.05,278.1,284.15,290.2,296.25,302.3,300.02,297.74,295.46,293.18,290.9,288.62,286.34,284.06,281.78,279.5
"Nassau--Suffolk, NY PMSA",,2609212,2623682.1,2638152.2,2652622.3,2667092.4,2681562.5,2696032.6,2710502.7,2724972.8,2739442.9,2753913,,,,,,,,,,,2178,2189.91,2201.82,2213.73,2225.64,2237.55,2249.46,2261.37,2273.28,2285.19,2297.1,,,,,,,,,,
"New Bedford, MA PMSA",,175641,175596.7,175552.4,175508.1,175463.8,175419.5,175375.2,175330.9,175286.6,175242.3,175198,,,,,,,,,,,820,819.79,819.58,819.37,819.16,818.95,818.74,818.53,818.32,818.11,817.9,,,,,,,,,,
"New Haven--Meriden, CT PMSA",,530180,531376.9,532573.8,533770.7,534967.6,536164.5,537361.4,538558.3,539755.2,540952.1,542149,,,,,,,,,,,1232.8,1235.62,1238.44,1241.26,1244.08,1246.9,1249.72,1252.54,1255.36,1258.18,1261,,,,,,,,,,
"New London--Norwich, CT--RI MSA",35980,266819,269493.7,272168.4,274843.1,277517.8,280192.5,282867.2,285541.9,288216.6,290891.3,293566,291614.9,289663.8,287712.7,285761.6,283810.5,281859.4,279908.3,277957.2,276006.1,274055,441,441.23,441.46,441.69,441.92,442.15,442.38,442.61,442.84,443.07,443.3,,,,,,,,,,
"New Orleans, LA MSA",35380,1238816,1248707,1258598,1268489,1278380,1288271,1298162,1308053,1317944,1327835,1337726,1320729.8,1303733.6,1286737.4,1269741.2,1252745,1235748.8,1218752.6,1201756.4,1184760.2,1167764,536.6,522.29,507.98,493.67,479.36,465.05,450.74,436.43,422.12,407.81,393.5,393.6,393.7,393.8,393.9,394,394.1,394.2,394.3,394.4,394.5
"New York, NY PMSA",,8546846,8623584.9,8700323.8,8777062.7,8853801.6,8930540.5,9007279.4,9084018.3,9160757.2,9237496.1,9314235,,,,,,,,,,,7447.6,7518.71,7589.82,7660.93,7732.04,7803.15,7874.26,7945.37,8016.48,8087.59,8158.7,,,,,,,,,,
"New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA",35620,18087251,18398512.4,18709773.8,19021035.2,19332296.6,19643558,19954819.4,20266080.8,20577342.2,20888603.6,21199865,20969589.4,20739313.8,20509038.2,20278762.6,20048487,19818211.4,19587935.8,19357660.2,19127384.6,18897109,2320.1,2290.96,2261.82,2232.68,2203.54,2174.4,2145.26,2116.12,2086.98,2057.84,2028.7,2108.43,2188.16,2267.89,2347.62,2427.35,2507.08,2586.81,2666.54,2746.27,2826
"Newark, NJ PMSA",,1824321,1845187.8,1866054.6,1886921.4,1907788.2,1928655,1949521.8,1970388.6,1991255.4,2012122.2,2032989,,,,,,,,,,,1495.5,1474.81,1454.12,1433.43,1412.74,1392.05,1371.36,1350.67,1329.98,1309.29,1288.6,,,,,,,,,,
"Newburgh, NY--PA PMSA",,,,,,,,,,,,387669,,,,,,,,,,,,,,,,,,,,,284.4,,,,,,,,,,
"Norfolk--Virginia Beach--Newport News, VA--NC MSA",,1396107,1413450.4,1430793.8,1448137.2,1465480.6,1482824,1500167.4,1517510.8,1534854.2,1552197.6,1569541,,,,,,,,,,,828.4,812.39,796.38,780.37,764.36,748.35,732.34,716.33,700.32,684.31,668.3,,,,,,,,,,
"Oakland, CA PMSA",,2082914,2113878.3,2144842.6,2175806.9,2206771.2,2237735.5,2268699.8,2299664.1,2330628.4,2361592.7,2392557,,,,,,,,,,,1428.8,1450.07,1471.34,1492.61,1513.88,1535.15,1556.42,1577.69,1598.96,1620.23,1641.5,,,,,,,,,,
"Ocala, FL MSA",36100,194833,201241.3,207649.6,214057.9,220466.2,226874.5,233282.8,239691.1,246099.4,252507.7,258916,266154.2,273392.4,280630.6,287868.8,295107,302345.2,309583.4,316821.6,324059.8,331298,123.4,127.46,131.52,135.58,139.64,143.7,147.76,151.82,155.88,159.94,164,168.51,173.02,177.53,182.04,186.55,191.06,195.57,200.08,204.59,209.1
"Odessa--Midland, TX MSA",36220,118934,130753.8,142573.6,154393.4,166213.2,178033,189852.8,201672.6,213492.4,225312.2,237132,227131.8,217131.6,207131.4,197131.2,187131,177130.8,167130.6,157130.4,147130.2,137130,132,131.96,131.92,131.88,131.84,131.8,131.76,131.72,131.68,131.64,131.6,133.72,135.84,137.96,140.08,142.2,144.32,146.44,148.56,150.68,152.8
"Oklahoma City, OK MSA",36420,958839,971289.7,983740.4,996191.1,1008641.8,1021092.5,1033543.2,1045993.9,1058444.6,1070895.3,1083346,1100310.1,1117274.2,1134238.3,1151202.4,1168166.5,1185130.6,1202094.7,1219058.8,1236022.9,1252987,225.7,228.64,231.58,234.52,237.46,240.4,243.34,246.28,249.22,252.16,255.1,252.32,249.54,246.76,243.98,241.2,238.42,235.64,232.86,230.08,227.3
"Olympia, WA PMSA",36500,161238,165849.7,170461.4,175073.1,179684.8,184296.5,188908.2,193519.9,198131.6,202743.3,207355,211845.9,216336.8,220827.7,225318.6,229809.5,234300.4,238791.3,243282.2,247773.1,252264,221.8,228.14,234.48,240.82,247.16,253.5,259.84,266.18,272.52,278.86,285.2,291.62,298.04,304.46,310.88,317.3,323.72,330.14,336.56,342.98,349.4
"Omaha, NE--IA MSA",36540,618262,628135.6,638009.2,647882.8,657756.4,667630,677503.6,687377.2,697250.8,707124.4,716998,731833.2,746668.4,761503.6,776338.8,791174,806009.2,820844.4,835679.6,850514.8,865350,322.6,319.3,316,312.7,309.4,306.1,302.8,299.5,296.2,292.9,289.6,280.53,271.46,262.39,253.32,244.25,235.18,226.11,217.04,207.97,198.9
"Orange County, CA PMSA",,307647,561511.2,815375.4,1069239.6,1323103.8,1576968,1830832.2,2084696.4,2338560.6,2592424.8,2846289,,,,,,,,,,,376.8,699.68,1022.56,1345.44,1668.32,1991.2,2314.08,2636.96,2959.84,3282.72,3605.6,,,,,,,,,,
"Orlando, FL MSA",36740,1072748,1129929.3,1187110.6,1244291.9,1301473.2,1358654.5,1415835.8,1473017.1,1530198.4,1587379.7,1644561,1693546,1742531,1791516,1840501,1889486,1938471,1987456,2036441,2085426,2134411,422.7,427.54,432.38,437.22,442.06,446.9,451.74,456.58,461.42,466.26,471.1,485.35,499.6,513.85,528.1,542.35,556.6,570.85,585.1,599.35,613.6
"Owensboro, KY MSA",36980,87189,87624.6,88060.2,88495.8,88931.4,89367,89802.6,90238.2,90673.8,91109.4,91545,93865.7,96186.4,98507.1,100827.8,103148.5,105469.2,107789.9,110110.6,112431.3,114752,188.5,189.45,190.4,191.35,192.3,193.25,194.2,195.15,196.1,197.05,198,190.97,183.94,176.91,169.88,162.85,155.82,148.79,141.76,134.73,127.7
"Panama City, FL MSA",37460,126994,129116.3,131238.6,133360.9,135483.2,137605.5,139727.8,141850.1,143972.4,146094.7,148217,150280.5,152344,154407.5,156471,158534.5,160598,162661.5,164725,166788.5,168852,166.3,169.08,171.86,174.64,177.42,180.2,182.98,185.76,188.54,191.32,194.1,196.95,199.8,202.65,205.5,208.35,211.2,214.05,216.9,219.75,222.6
"Parkersburg--Marietta, WV--OH MSA",37620,149169,149375.8,149582.6,149789.4,149996.2,150203,150409.8,150616.6,150823.4,151030.2,151237,152318.9,153400.8,154482.7,155564.6,156646.5,157728.4,158810.3,159892.2,160974.1,162056,148.8,149.01,149.22,149.43,149.64,149.85,150.06,150.27,150.48,150.69,150.9,147.72,144.54,141.36,138.18,135,131.82,128.64,125.46,122.28,119.1
"Pensacola, FL MSA",37860,344406,351180.7,357955.4,364730.1,371504.8,378279.5,385054.2,391828.9,398603.6,405378.3,412153,415836.8,419520.6,423204.4,426888.2,430572,434255.8,437939.6,441623.4,445307.2,448991,205.1,209.13,213.16,217.19,221.22,225.25,229.28,233.31,237.34,241.37,245.4,247.78,250.16,252.54,254.92,257.3,259.68,262.06,264.44,266.82,269.2
"Peoria--Pekin, IL MSA",37900,339172,339993.5,340815,341636.5,342458,343279.5,344101,344922.5,345744,346565.5,347387,350566.9,353746.8,356926.7,360106.6,363286.5,366466.4,369646.3,372826.2,376006.1,379186,188.8,189.26,189.72,190.18,190.64,191.1,191.56,192.02,192.48,192.94,193.4,189.41,185.42,181.43,177.44,173.45,169.46,165.47,161.48,157.49,153.5
"Philadelphia, PA--NJ PMSA",,4856881,4881286,4905691,4930096,4954501,4978906,5003311,5027716,5052121,5076526,5100931,,,,,,,,,,,1380.5,1374.76,1369.02,1363.28,1357.54,1351.8,1346.06,1340.32,1334.58,1328.84,1323.1,,,,,,,,,,
"Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA",37980,5899345,5928256.8,5957168.6,5986080.4,6014992.2,6043904,6072815.8,6101727.6,6130639.4,6159551.2,6188463,6166151,6143839,6121527,6099215,6076903,6054591,6032279,6009967,5987655,5965343,1103.6,1097.51,1091.42,1085.33,1079.24,1073.15,1067.06,1060.97,1054.88,1048.79,1042.7,1068.05,1093.4,1118.75,1144.1,1169.45,1194.8,1220.15,1245.5,1270.85,1296.2
"Phoenix--Mesa, AZ MSA",38060,2122101,2235078.5,2348056,2461033.5,2574011,2686988.5,2799966,2912943.5,3025921,3138898.5,3251876,3345977.1,3440078.2,3534179.3,3628280.4,3722381.5,3816482.6,3910583.7,4004684.8,4098785.9,4192887,230.6,229.85,229.1,228.35,227.6,226.85,226.1,225.35,224.6,223.85,223.1,229.58,236.06,242.54,249.02,255.5,261.98,268.46,274.94,281.42,287.9
"Pine Bluff, AR MSA",38220,85487,85366.1,85245.2,85124.3,85003.4,84882.5,84761.6,84640.7,84519.8,84398.9,84278,85876,87474,89072,90670,92268,93866,95464,97062,98660,100258,96.6,96.46,96.32,96.18,96.04,95.9,95.76,95.62,95.48,95.34,95.2,90.62,86.04,81.46,76.88,72.3,67.72,63.14,58.56,53.98,49.4
"Pittsburgh, PA MSA",38300,2056705,2086904,2117103,2147302,2177501,2207700,2237899,2268098,2298297,2328496,2358695,2358454,2358213,2357972,2357731,2357490,2357249,2357008,2356767,2356526,2356285,604.9,595.4,585.9,576.4,566.9,557.4,547.9,538.4,528.9,519.4,509.9,503.52,497.14,490.76,484.38,478,471.62,465.24,458.86,452.48,446.1
