MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Greensboro--Winston-Salem--High Point, NC MSA",24660,942091,973032.8,1003974.6,1034916.4,1065858.2,1096800,1127741.8,1158683.6,1189625.4,1220567.2,1251509,1198738.2,1145967.4,1093196.6,1040425.8,987655,934884.2,882113.4,829342.6,776571.8,723801,272.9,277.86,282.82,287.78,292.74,297.7,302.66,307.62,312.58,317.54,322.5,326.55,330.6,334.65,338.7,342.75,346.8,350.85,354.9,358.95,363
"Greenville, NC MSA",24780,,,,,,,,,,,133798,139369.2,144940.4,150511.6,156082.8,161654,167225.2,172796.4,178367.6,183938.8,189510,,,,,,,,,,,205.3,205.42,205.54,205.66,205.78,205.9,206.02,206.14,206.26,206.38,206.5
"Greenville--Spartanburg--Anderson, SC MSA",,640861,673019,705177,737335,769493,801651,833809,865967,898125,930283,962441,,,,,,,,,,,305.2,304.68,304.16,303.64,303.12,302.6,302.08,301.56,301.04,300.52,300,,,,,,,,,,
"Hagerstown, MD PMSA",25180,121393,122446,123499,124552,125605,126658,127711,128764,129817,130870,131923,145644.7,159366.4,173088.1,186809.8,200531.5,214253.2,227974.9,241696.6,255418.3,269140,265,267.3,269.6,271.9,274.2,276.5,278.8,281.1,283.4,285.7,288,285.9,283.8,281.7,279.6,277.5,275.4,273.3,271.2,269.1,267
"Hamilton--Middletown, OH PMSA",,291479,295611.8,299744.6,303877.4,308010.2,312143,316275.8,320408.6,324541.4,328674.2,332807,,,,,,,,,,,623.7,632.55,641.4,650.25,659.1,667.95,676.8,685.65,694.5,703.35,712.2,,,,,,,,,,
"Harrisburg--Lebanon--Carlisle, PA MSA",25420,587986,592127.5,596269,600410.5,604552,608693.5,612835,616976.5,621118,625259.5,629401,621408.4,613415.8,605423.2,597430.6,589438,581445.4,573452.8,565460.2,557467.6,549475,295.3,297.39,299.48,301.57,303.66,305.75,307.84,309.93,312.02,314.11,316.2,318.46,320.72,322.98,325.24,327.5,329.76,332.02,334.28,336.54,338.8
"Hartford, CT MSA",25540,767841,809367.9,850894.8,892421.7,933948.6,975475.5,1017002.4,1058529.3,1100056.2,1141583.1,1183110,1186037.1,1188964.2,1191891.3,1194818.4,1197745.5,1200672.6,1203599.7,1206526.8,1209453.9,1212381,714.8,713.86,712.92,711.98,711.04,710.1,709.16,708.22,707.28,706.34,705.4,714.91,724.42,733.93,743.44,752.95,762.46,771.97,781.48,790.99,800.5
"Hattiesburg, MS MSA",25620,,,,,,,,,,,111674,114790.8,117907.6,121024.4,124141.2,127258,130374.8,133491.6,136608.4,139725.2,142842,,,,,,,,,,,115.9,113.18,110.46,107.74,105.02,102.3,99.58,96.86,94.14,91.42,88.7
"Hickory--Morganton--Lenoir, NC MSA",25860,221700,233715.1,245730.2,257745.3,269760.4,281775.5,293790.6,305805.7,317820.8,329835.9,341851,344215.6,346580.2,348944.8,351309.4,353674,356038.6,358403.2,360767.8,363132.4,365497,190,191.86,193.72,195.58,197.44,199.3,201.16,203.02,204.88,206.74,208.6,210.06,211.52,212.98,214.44,215.9,217.36,218.82,220.28,221.74,223.2
"Honolulu, HI MSA",26180,836231,840223.5,844216,848208.5,852201,856193.5,860186,864178.5,868171,872163.5,876156,883861.1,891566.2,899271.3,906976.4,914681.5,922386.6,930091.7,937796.8,945501.9,953207,1393.3,1400.05,1406.8,1413.55,1420.3,1427.05,1433.8,1440.55,1447.3,1454.05,1460.8,1473.39,1485.98,1498.57,1511.16,1523.75,1536.34,1548.93,1561.52,1574.11,1586.7
